Country	Coal	Oil	Gas	Gas flaring	Cement	MtCO2	Population	GDP	MtCO2perGDP	MtCO2perPop
China	6839.7702	1264.8356	329.455	0.0	1245.76	9679.8208	1369435670.0	14984661.0742	0.645981964628	7.0684742716
United States of America	1730.6229	2280.2022	1451.876	13.0968	38.9645	5514.7624	319448634.0	14794170.9227	0.37276589738	17.2633776233
India	1934.3586	453.5116	72.8206	2.0775	133.9441	2596.7124	1295291543.0	6384811.1896	0.406701517537	2.00473199569
Russian Federation	358.4639	326.5141	821.2987	36.5943	29.3576	1572.2286	143429435.0	2219999.2592	0.708211317407	10.9616871878
Japan	438.9679	486.5223	266.0934	0.031228	26.5534	1218.168228	126794564.0	4053136.9433	0.300549486741	9.60741682901
Germany	346.4248	255.3344	168.1061	0.40664	12.4528	782.72474	80646262.0	2908146.4405	0.269149011583	9.70565430547
Indonesia	321.8331	216.8419	72.5128	9.5374	19.8264	640.5516	254454778.0	2160960.6819	0.296419830941	2.51734946789
Iran	4.0657	236.3492	307.3668	33.412	34.5415	615.7352	78143644.0	1078020.8473	0.571171885537	7.87953016371
Saudi Arabia	0.0	382.4539	188.0931	0.0	31.3946	601.9416	30886545.0	1360519.6709	0.442435058364	19.4887968208
South Korea	308.8649	168.5274	98.2342	0.0	23.7949	599.4214	50074401.0	1487857.139	0.402875641947	11.9706154847
Canada	88.1792	235.7484	210.5019	4.6636	6.2868	545.3799	35587793.0	1349136.4279	0.404243698948	15.3249149224
Brazil	63.3248	329.517	74.9525	3.6164	35.8793	507.29	206077898.0	2605626.8115	0.194690198059	2.46164195638
South Africa	395.4229	65.9235	9.035	0.0	5.7611	476.1425	53969054.0	579715.1999	0.821338650569	8.82250965526
Mexico	29.7088	257.5316	144.1373	7.819	17.4392	456.6359	125385833.0	1627100.5855	0.280643928267	3.64184604492
United Kingdom	111.4974	164.3909	142.4235	3.2573	3.7155	425.2846	64331348.0	2166275.2364	0.196320667316	6.61084546215
Australia	177.1989	121.5439	68.3299	3.0109	3.5182	373.6018	23622353.0	914769.0936	0.408411043414	15.8156048214
Turkey	146.2262	89.5806	96.8241	0.10119	35.6075	368.33959	77523788.0	1088809.4237	0.338295740267	4.75131052678
