Country	Coal	Oil	Gas	Gas flaring	Cement	MtCO2	Population	GDP	MtCO2perGDP	MtCO2perPop	CoalperGDP	OilperGDP	GasperGDP	GFperGDP	CementperGDP
Zimbabwe	9.2652	2.1891	0.0	0.0	0.44701	11.90131	15245855.0	4250.626	2.79989582711	0.780625947184	2.17972599801	0.515006495514	0.0	0.0	0.105163333589
Trinidad and Tobago		4.5913	41.7803	0.0	0.31583	46.68743	1354483.0	35567.242	1.31265252448	34.4688194684		0.129087883733	1.17468484062	0.0	0.00887980012619
Turkmenistan		19.0975	51.3969	0.0	0.75649	71.25089	5307188.0	69845.174	1.02012617221	13.4253563281		0.273426192624	0.735869023678	0.0	0.0108309559083
Libya	0.0	28.2997	9.5443	2.5062	0.85424	41.20444	6258984.0	44506.397	0.925809384211	6.58324737689	0.0	0.63585690839	0.214447824208	0.0563110062583	0.0191936453539
Mongolia	17.2453	3.2859	0.0	0.0	0.12307	20.65427	2909871.0	24858.5532	0.830871766101	7.09800193892	0.693737075575	0.132183879471	0.0	0.0	0.00495081105525
Uzbekistan	10.2022	8.9648	98.1485	0.0	3.5412	120.8567	29469913.0	145773.8878	0.829069607897	4.10101991139	0.0699864711984	0.061497982494	0.673292737686	0.0	0.0242924165188
South Africa	395.4229	65.9235	9.035	0.0	5.7611	476.1425	53969054.0	579715.1999	0.821338650569	8.82250965526	0.682098554718	0.113717045907	0.0155852390994	0.0	0.009937810844
Ukraine	120.4939	30.7738	76.5329	0.22149	3.2171	231.23919	45002497.0	315425.7001	0.733101931538	5.13836354458	0.38200406613	0.0975627540503	0.24263368513	0.000702193892032	0.0101992323358
Bosnia and Herzegovina	16.2264	4.2503	0.45998	0.0	0.42001	21.35669	3817554.0	29200.4951	0.731381092234	5.59433867864	0.55568920816	0.145555751211	0.0157524726353	0.0	0.0143836602277
Russian Federation	358.4639	326.5141	821.2987	36.5943	29.3576	1572.2286	143429435.0	2219999.2592	0.708211317407	10.9616871878	0.161470279107	0.147078472503	0.369954492821	0.0164839244195	0.013224148557
China	6839.7702	1264.8356	329.455	0.0	1245.76	9679.8208	1369435670.0	14984661.0742	0.645981964628	7.0684742716	0.45645144499	0.0844086892414	0.0219861495945	0.0	0.0831356808026
Serbia	30.2069	8.9411	3.8483	0.0	1.1752	44.1715	8892815.0	70448.3026	0.62700588048	4.96709984409	0.42878109032	0.126917181394	0.0546258725615	0.0	0.0166817362041
Estonia	11.6399	3.1601	1.1365	0.0	0.40744	16.34394	1316203.0	26495.71	0.616852313073	12.4174918307	0.439312628346	0.119268364577	0.0428937363822	0.0	0.0153775837673
Kazakhstan	135.0486	37.0841	28.5217	2.4061	2.1864	205.2469	17371621.0	355878.4629	0.57673313054	11.8150689564	0.379479552934	0.104204395225	0.0801444958697	0.00676101605136	0.00614367046037
Iran	4.0657	236.3492	307.3668	33.412	34.5415	615.7352	78143644.0	1078020.8473	0.571171885537	7.87953016371	0.00377144840026	0.219243626496	0.285121387745	0.0309938347516	0.0320415881442
Oman	0.0	19.0051	46.6563	1.766	2.3321	69.7595	4236057.0	141674.8773	0.492391462265	16.4680267522	0.0	0.134145872311	0.329319501729	0.0124651599045	0.0164609283201
