Country	Coal	Oil	Gas	Gas flaring	Cement	MtCO2	Population	GDP	MtCO2perGDP	MtCO2perPop	CoalperPop	OilperPop	GasperPop	GFperPop	CementperPop
Qatar		18.7181	77.7081	1.0736	2.1925	99.6923	2172065.0	268825.0328	0.370844556259	45.8974754439		8.61765186585	35.776139296	0.494276184184	1.00940809782
Trinidad and Tobago		4.5913	41.7803	0.0	0.31583	46.68743	1354483.0	35567.242	1.31265252448	34.4688194684		3.38970662607	30.845939004	0.0	0.233173838284
Kuwait		61.4813	38.8138	0.4177	1.1212	101.834	3753121.0	246261.825	0.413519228975	27.1331513159		16.3813796571	10.3417395815	0.111294040347	0.298738036956
Brunei Darussalam	0.0	1.9922	7.3231	0.49098	0.1175	9.92378	417394.0	24965.7076	0.397496444283	23.7755693661	0.0	4.77294834138	17.5448137731	1.17629865307	0.28150859859
United Arab Emirates	6.5116	50.478	131.3254	1.8906	8.0005	198.2061	9086139.0	510644.2176	0.388149112765	21.8141170854	0.716652034489	5.55549502379	14.4533778319	0.208075179127	0.880517016084
Saudi Arabia	0.0	382.4539	188.0931	0.0	31.3946	601.9416	30886545.0	1360519.6709	0.442435058364	19.4887968208	0.0	12.3825406824	6.08980706648	0.0	1.01644907192
Luxembourg	0.27276	7.507	2.3802	0.0	0.37486	10.53482	556573.0	38521.6342	0.273478013557	18.9280112402					
Bahrain	0.0	4.8197	20.2362	0.0	0.43266	25.48856	1361930.0	52577.4765	0.4847809689	18.7150294068	0.0	3.53887497889	14.8584729024	0.0	0.317681525482
United States of America	1730.6229	2280.2022	1451.876	13.0968	38.9645	5514.7624	319448634.0	14794170.9227	0.37276589738	17.2633776233	5.41753107011	7.13793066337	4.54494352291	0.0409981405649	0.121974226379
Oman	0.0	19.0051	46.6563	1.766	2.3321	69.7595	4236057.0	141674.8773	0.492391462265	16.4680267522	0.0	4.48650714568	11.0140869209	0.416897128627	0.550535557005
Australia	177.1989	121.5439	68.3299	3.0109	3.5182	373.6018	23622353.0	914769.0936	0.408411043414	15.8156048214	7.50132300538	5.14529183439	2.89259499255	0.127459783536	0.148935205566
Canada	88.1792	235.7484	210.5019	4.6636	6.2868	545.3799	35587793.0	1349136.4279	0.404243698948	15.3249149224	2.47779343889	6.62441753553	5.91500293373	0.131044934425	0.176656079797
Turkmenistan		19.0975	51.3969	0.0	0.75649	71.25089	5307188.0	69845.174	1.02012617221	13.4253563281		3.59842161235	9.68439407083	0.0	0.142540644876
Estonia	11.6399	3.1601	1.1365	0.0	0.40744	16.34394	1316203.0	26495.71	0.616852313073	12.4174918307	8.84354465079	2.40092143841	0.863468629079	0.0	0.309557112391
South Korea	308.8649	168.5274	98.2342	0.0	23.7949	599.4214	50074401.0	1487857.139	0.402875641947	11.9706154847	6.1681197145	3.36554000916	1.96176485466	0.0	0.475190906427
Kazakhstan	135.0486	37.0841	28.5217	2.4061	2.1864	205.2469	17371621.0	355878.4629	0.57673313054	11.8150689564	7.77409316033	2.13475184613	1.6418559903	0.138507511763	0.125860447911
Palau	0.0	0.24208	0.0	0.0	0.0	0.24208	21097.0			11.4746172442					
Taiwan	144.5749	69.3203	37.7108	0.0	7.8766	259.4826	23361753.0	848878.7588	0.305676867645	11.1071545016	6.18852960221	2.96725592467	1.61421105685	0.0	0.337157917901
Russian Federation	358.4639	326.5141	821.2987	36.5943	29.3576	1572.2286	143429435.0	2219999.2592	0.708211317407	10.9616871878	2.49923525112	2.27647902259	5.7261516787	0.255138005668	0.204683229771
Czech Republic	63.8234	23.2301	14.5766	0.01199	1.517	103.15909	10542666.0	254014.7926	0.406114498074	9.78491493518	6.05381978335	2.20343696746	1.38262940323	0.00113728349167	0.143891497653
Germany	346.4248	255.3344	168.1061	0.40664	12.4528	782.72474	80646262.0	2908146.4405	0.269149011583	9.70565430547					
Japan	438.9679	486.5223	266.0934	0.031228	26.5534	1218.168228	126794564.0	4053136.9433	0.300549486741	9.60741682901					
Iceland	1.577	1.5013	0.0063269	0.0	0.0	3.0846269	327318.0	11479.7265	0.268702124567	9.42394521536					
Netherlands	34.7942	48.8412	68.2633	0.05914	0.30809	152.26593	16868020.0	614127.4474	0.247938649615	9.02690001553					
South Africa	395.4229	65.9235	9.035	0.0	5.7611	476.1425	53969054.0	579715.1999	0.821338650569	8.82250965526	7.32684512128	1.22150556873	0.167410753577	0.0	0.10674821167
Belgium	16.8317	46.0856	31.9251	0.09202	2.6426	97.57702	11226322.0	368588.9159	0.264731292209	8.69180663088					
Finland	12.6982	25.1052	8.2275	0.10048	0.49962	46.631	5479660.0	168391.41	0.276920301338	8.50983455178					
Israel	25.4664	24.7945	14.3268	0.0	2.5999	67.1876	7939483.0	242926.2019	0.276576176116	8.46246537715					
Malaysia	66.4049	82.0415	76.3533	16.8068	9.959	251.5655	29901997.0	633455.48	0.397132092061	8.41299997455	2.22075134313	2.74367962782	2.55345153034	0.562062794669	0.333054678589
Norway	5.0782	21.9129	13.8774	1.3597	0.72542	42.95362	5147970.0	245545.3071	0.17493154525	8.34379765228					
Equatorial Guinea	0.0	0.60159	3.6286	2.29	0.0	6.52019	820885.0			7.94287872235					
Iran	4.0657	236.3492	307.3668	33.412	34.5415	615.7352	78143644.0	1078020.8473	0.571171885537	7.87953016371	0.0520285437418	3.02454797219	3.93335637125	0.427571562954	0.442025713569
Poland	203.734	60.1918	32.2014	0.0	6.3843	302.5115	38619974.0	742546.1727	0.40739756142	7.83303220246	5.27535311132	1.55856655937	0.833801700643	0.0	0.165310831126
Ireland	7.9857	17.55	8.9839	0.0	1.177	35.6966	4675164.0	176703.4406	0.202014176288	7.63536851328					
New Zealand	6.0775	18.1456	8.6068	0.23584	0.56863	33.63437	4495482.0	123194.8887	0.273017576905	7.4818161879					
Austria	11.8588	32.5196	15.6927	0.0	1.6725	61.7436	8516916.0	308412.2298	0.200198286689	7.24952553248					
Slovenia	5.7441	7.3902	1.4707	0.0	0.32591	14.93091	2066068.0	51274.5536	0.291195319153	7.22672729068					
Seychelles	0.0	0.68096	0.0	0.0	0.0	0.68096	95868.0			7.10310009597					
Mongolia	17.2453	3.2859	0.0	0.0	0.12307	20.65427	2909871.0	24858.5532	0.830871766101	7.09800193892	5.92648265164	1.12922531617	0.0	0.0	0.0422939711073
China	6839.7702	1264.8356	329.455	0.0	1245.76	9679.8208	1369435670.0	14984661.0742	0.645981964628	7.0684742716	4.9945903629	0.92361812074	0.24057720068	0.0	0.90968858727
Greece	34.4415	32.6379	5.49	0.0082762	3.0993	75.6769762	11000777.0	227102.8117	0.333227825906	6.87923918465	3.1308243045	2.96687224911	0.499055657614	0.00075232867642	0.281734644744
Denmark	10.2802	19.4622	7.3597	0.21691	0.87108	38.19009	5646899.0	181628.4113	0.210264956494	6.76301984505					
Malta	8.557e-06	2.8202	0.00028112	0.0	0.0	2.820489677	417723.0	10284.8038	0.274238549597	6.75205740886					
Venezuela	0.77775	124.643	59.586	17.8583	3.8065	206.67155	30693827.0	458310.3402	0.450942367807	6.73332621572	0.0253389712531	4.06084910819	1.94130239934	0.581820572586	0.124015164352
United Kingdom	111.4974	164.3909	142.4235	3.2573	3.7155	425.2846	64331348.0	2166275.2364	0.196320667316	6.61084546215					
Libya	0.0	28.2997	9.5443	2.5062	0.85424	41.20444	6258984.0	44506.397	0.925809384211	6.58324737689	0.0	4.52145268306	1.52489605342	0.400416425413	0.136482215005
Cyprus	0.0011387	6.5557	0.0043908	0.0	0.50454	7.0657695	1153658.0	18945.8023	0.372946438906	6.12466562881	0.000987034285724	5.68253329843	0.00380598062857	0.0	0.437339315464
Bulgaria	27.4174	10.2799	5.3306	0.0023107	0.99783	44.0280407	7201308.0	91435.083	0.48152240098	6.11389496186	3.80728056625	1.42750455889	0.740226636605	0.000320872263761	0.138562327844
Belarus	3.6453	13.8086	37.9848	0.0020109	2.1835	57.6242109	9500422.0	146045.147	0.394564366456	6.06543697743	0.383698745172	1.45347227734	3.99822239475	0.00021166428186	0.229831895888
Slovakia	13.8152	7.9115	7.987	1.2578e-06	1.0786	30.7923012578	5422861.0	119247.1987	0.258222428648	5.6782390804					
