;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Macedonia (Republic of);Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands Antilles;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States of America;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe;KP Annex B;Non KP Annex B;OECD;Non-OECD;EU28;Africa;Asia;Central America;Europe;Middle East;North America;Oceania;South America;Statistical Difference;World
1960;0;0;1.6048;;0.15022;;0;0.7731;0;;4.4664;0.003664;0;1.7148;2.2167;0.074027;0.010992;0;2.4072;0.003664;0;0.46533;;0.051989;;0.2345;;0;0;0;0;0;6.7821;1.5535;0;0;0.007328;0.2345;0;0.12458;0;0.01832;;0;0.010992;0;0;0.11725;0;0;0;0.92333;2.9935;0;0.014656;0.076944;0.1429;0.010992;0;;0;0.05496;0;0.12091;;0.11725;0.03664;5.8001;0;0.01832;0;0;0;8.5884;0.058624;0.57158;1.7257;0;0;0;0.12091;0.003664;0;0.007328;0.062288;0;1.3007;0;0.040304;1.5572;1.5316;0.062288;0.68517;6.6465;0.047632;10.5084;0.8244;13.0951;0;0;0.39938;;9.8488;0;0;0;0.6925;;0.01832;0.13923;;0;0;0;0;0.014656;0;0.50563;;0.003664;0.16122;;0;0;0.007328;0.41403;0;0.043194;;0.33342;0;0.021984;;;0;;8.0058;0.025648;0.60456;0.014656;0;0.029312;;1.3484;;;0.74671;;0.12458;0;0;0.098928;0.1429;0.032976;0.29678;0.19786;0;0.025648;0.025648;0;0;0;0;0;;0;0;0;7.9509;3.4881;0.1462;;0.2748;6.1702;0;0.033422;0;0;1.3154;10.076;1.4509;;0.029312;0;0.076944;0;0;1.6525;0.1832;0.01832;0;0;0.16854;;0;0;6.0749;0.007328;0.24915;0;;0.010992;0;0;18.9026;0.003664;42.6783;0.83539;0;;8.0571;0.032976;;10.4277;0;0;139.0419;99.1987;140.0129;98.2277;70.1221;12.7471;26.9157;22.1782;72.5069;38.1606;49.9037;5.2322;10.5963;0;238.2406
1961;0;0;1.6012;;0.2345;;0;0.88302;0;;4.5287;0.007328;0;4.111;2.257;0.079645;0.021984;0;3.3013;0;0;0.52029;;0.011784;;0.2345;;0;0;0;0;0;7.0972;0.94531;0;0;0.003664;0.10626;0;0.12458;0;0.003664;;0;0.003664;0;0;0.080608;0;0;0;0.85738;3.5797;0;0.010992;0.17221;0.21251;0.010992;0;;0;0.062288;0;0.05496;;0.14656;0.040304;6.6831;0;0.014656;0;0;0;8.9255;0.05496;0.53494;2.4402;0;0;0;0.13923;0.003664;0;0.010992;0.025648;0;1.2934;0;0.032976;1.4949;2.2204;0.1319;0.76578;6.826;0.032976;12.7397;0.78043;18.4079;0;0;0.5496;0;9.8708;0;0;0;0.69616;;0.01832;0.1319;;0;0;0;0;0.014656;0.001197;0.38838;;0.007328;0.15389;;0;0;0.010992;0.19786;0;0.0097906;;0.33342;0.2345;0.010992;;;0;;11.2082;0.05496;0.64853;0.014656;0;0.025648;;1.4876;;;0.80338;;0.1319;0.003664;0;0.11725;0.1832;0.029312;0.34442;0.15755;0;0.047632;0.03664;0;0;0;0;0;;0;0;0;8.1561;3.0558;0.033138;;0.97462;7.6394;0;0.0075756;0;0;1.6708;10.8748;1.2604;;0.051296;0;0.062288;0;0;1.8576;0.16488;0.01832;0;0;0.23816;;0;0;7.1485;0.010992;0.18686;0;;0.010992;0;0;17.8986;0.003664;43.6676;0.71082;0;;7.9912;0.032976;;11.1862;0.01189;0.016225;154.1447;109.0954;154.7053;108.5348;78.3439;13.8976;34.1961;28.3117;80.619;39.3624;51.0139;5.3934;10.4351;0;263.2401
1962;0;0;0.96363;;0.23816;;0;0.7731;0;;4.2026;0.003664;0;4.1586;2.5611;0.090551;0.61555;0;4.1733;0.003664;0;0.53494;;0.010398;;0.2345;0;0;0;0;0;0;7.4892;1.0992;0;0.007328;0.003664;0.12824;0;0.1319;0;0.025648;;0;0.003664;0;0;0.032976;0;0;0;0.23083;4.078;0;0.01832;0.12458;0.18686;0.010992;0;;0;0.065952;0;0.05496;;0.17954;0.03664;7.1778;0;0.010992;0;0;0;9.7023;0.069616;0.52762;3.0338;0;0;0;0.13923;0.003664;0;0.007328;0.043968;0;1.5022;0;0.03664;1.5206;1.5242;0.11358;0.65219;7.9252;0.03664;13.9782;0.55693;21.0863;0;0;0.58624;0;12.8057;0;0;0;0.76211;;0.01832;0.1319;;0;0;0;0;0.014656;0.0010473;0.31144;;0.007328;0.17221;;0;0;0.010992;0.2748;0;0.0086388;0;0.34075;0.39571;0.014656;;;0;;12.0839;0.032976;0.57158;0.014656;0;0.032976;;1.4693;;;0.91338;;0.21984;0;0;0.076944;0.2345;0.021984;0.28946;0.15389;0;0.047632;0.03664;0;0;0;0;0;;0;0;0;9.5924;3.151;0.029239;;0.90501;8.4675;0;0.0066843;0;0;1.6048;10.5743;0.98195;;0.032976;0;0.07328;0;;2.2424;0.069616;0.01832;0;0;0.43235;;0;0;7.2401;0.010992;0.20518;0;;0.010992;0;0;16.7188;0.010992;41.5314;0.75112;0;0;8.7386;0.01832;;10.9004;0.010403;0.014197;157.5147;115.0979;158.1962;114.4164;81.2632;14.1247;37.2702;27.502;83.4146;44.9206;49.3284;4.9977;11.0433;0;272.6126
1963;0;0;1.2274;;0.3151;;0;1.1542;0;;4.591;0.003664;0;3.8069;2.7517;0.095178;0.8647;0;4.8108;0.003664;0;0.44334;;0.0090115;;0.2345;0;0;0;0;0;0;7.8703;1.0992;0;0;0.010992;0.10259;0;0.12458;0;0.003664;;0;0.003664;0;0;0.098928;0;0;0;0.27846;3.7959;0;0.021984;0.15755;0.2748;0.010992;0;;0;0.065952;0;0.03664;;0.15755;0.076944;6.9286;0;0.010992;0;0;0;9.5301;0.014656;0.62654;3.4552;0;0;0;0.15022;0.007328;0;0.007328;0.032976;0;1.6085;0;0.062288;1.5316;1.1981;0.098928;0.65219;8.636;0.021984;15.7186;0.28946;25.7909;0;0;0.56426;0;13.3516;0;0;0;0.95997;;0.040304;0.12458;;0;0;0;0;0.014656;0.00074809;0.2235;;0.010992;0.19053;;0;0;0.010992;0.32976;0;0.007487;0;0.38838;0.3664;0.010992;;;0;;12.2927;0.032976;0.72914;0.014656;0;0.032976;;1.5792;;;0.96005;;1.418;0.003664;0;0.13557;0.29312;0.01832;0.27846;0.16122;0;0.047632;0.040304;0;0;0;0;0;;0;0;0;13.1574;3.1217;0.02534;0;0.73646;8.4528;0;0.0057931;0;0;1.832;11.384;0.6412;;0.029312;0;0.0916;0;;2.4732;0.058624;0.014656;0;0;0.4177;;0;0;5.1296;0.010992;0.31877;0;;0.010992;0;0.003664;16.521;0.01832;38.1972;0.42136;0;0;8.4235;0;;12.1168;0.0074311;0.010141;163.4495;121.6866;164.2629;120.8732;84.8604;14.2603;41.4179;28.0223;87.2288;51.4316;46.4265;5.5216;10.8161;0;285.1361
1964;0;0;1.0406;;0.50563;;0;0.98195;0;;5.1296;0.007328;0;3.9754;3.25;0.10641;0.75478;0;5.7122;0.003664;0;0.41403;;0.0083183;;0.65952;0;0;0;0;0;0;8.1341;1.2128;0;0.003664;0.010992;0.076944;0;0.11725;0;0.03664;;0;0.065952;0;0;0.07328;0;0;0.043968;0.29678;4.8255;0;0.025648;0.095264;0.24549;0.010992;0;;0;0.062288;0;0.01832;;0.18686;0.032976;7.4013;0;0.043968;0;0;0;11.2412;0.1429;0.58624;2.9422;0;0;0;0.15389;0.007328;0;0.007328;0.01832;0;1.8247;0;0.069616;1.865;1.0662;0.098928;0.73646;8.9658;0.025648;18.6644;0.5899;30.7483;0;0;0.5496;0;13.9965;0;0;0;1.0662;;0.095264;0.10992;;0;0;0;0;0.014656;0;0.23083;;0.010992;0.21984;;0;0;0.010992;0.21984;0;0.006911;0;0.37006;0.35174;0.014656;;0;0;;14.2383;0.062288;0.90501;0.014656;0;0.043968;;1.8173;;0;1.0734;;1.8393;0.010992;0;0.13923;0.64853;0.021984;0.37006;0.19419;0;0.047632;0.043968;0;0;0;0;0;;0;0;0;16.9167;3.0118;0.023391;0;0.63387;8.0352;0;0.0053475;0;0;2.6711;11.6002;0.79142;;0.043968;0;0.069616;0;0;2.6234;0.05496;0.01832;0;0;0.43968;;0;0;6.009;0.014656;0.35541;0;;0.010992;0;0.01832;16.6236;0.010992;39.7471;0.47266;0;0;9.0647;0;;12.41;0;0;179.2959;132.8073;180.0177;132.0855;92.983;16.2315;47.0604;29.9972;95.5498;57.1218;48.145;6.3277;11.6552;0;312.1032
1965;0;0;0.84272;;0.52762;;0.007328;1.2201;0;;5.5693;0.007328;0;3.4808;3.2316;0.098483;0.916;0;6.4413;0.003664;0;0.35174;;0.0062387;;0.66685;0;0;0;0;0;0;8.9951;1.4803;0;0.010992;0.010992;0.18686;0;0.12091;0;0.025648;;0;0.076944;0;0;0.03664;0;0;0.05496;0.35541;6.1006;0;0.007328;0.10992;0.26014;0.010992;0;;0;0.05496;0;0.010992;;0.2235;0.076944;7.3536;0;0.12458;0;0;0;12.2781;0.032976;0.52762;3.3452;0;0;0;0.16122;0.007328;0;0.010992;0.014656;0;1.9969;0;0.098928;1.7038;1.1175;0.080608;0.7841;9.9038;0.029312;21.951;0.78776;26.6116;0;0;0.70349;0;11.6882;0;0;0;1.4986;;0.098928;0.087936;;0;0;0;0;0.014656;0;0.15755;;0.010992;0.22717;;0;0;0.014656;0.20885;0;0.0051833;0;0.39938;0.37373;0.014656;;0;0;;16.5173;0.069616;1.0442;0.014656;0;0.05496;;1.6012;;0;0.99339;;2.4915;0.014656;0;0.20518;0.9673;0.021984;0.36274;0.19053;0;0.047632;0.05496;0;0;0;0;0;;0;0;0;20.676;2.9605;0.017543;0;0.54594;9.3212;0;0.0040106;0;0;2.6894;12.1315;0.84272;;0.032976;0;0.062288;0;0;2.7407;0.05496;0.014656;0;0;0.11725;;0;0;4.9281;0.010992;0.45067;0;;0.003664;0;0.025648;17.5396;0.010992;38.9373;0.48731;0;0;9.6327;0;;10.3032;0;0;184.992;137.6268;185.9227;136.6962;102.3432;17.5762;44.2135;30.3782;104.6548;57.9022;48.1743;7.0312;12.6738;0;322.6189
1966;0;0;0.79509;;0.48731;;0.014656;1.3557;0;;6.0896;0.010992;0;1.9016;3.598;0.057834;0.98562;0;6.6538;0.003664;0;0.35907;;0.0055455;;0.78776;0;0;0;0;0;0;9.8415;1.6525;0;0.007328;0.003664;0.19419;0;0.11725;0;0.029312;;0;0.11358;0;0;0.05496;0;0;0.076944;0.41037;5.6536;0;0.010992;0.095264;0.28579;0.010992;0;;0;0.058624;0;0.007328;;0.26014;0.095264;7.8849;0;0.14656;0;0;0;13.8353;0.065952;0.47998;2.9678;0;0;0;0.17587;0.007328;0;0.010992;0.014656;0.095264;2.1984;0;0.098928;1.843;1.2641;0.069616;0.83173;9.585;0.021984;25.4538;0.65219;34.5479;0;0;0.80974;0;11.7614;0;0;0;1.6744;;0.076944;0.076944;;0;0;0;0;0.01832;0;0.17587;;0.010992;0.35541;;0;0.007328;0.014656;0.21984;0;0.0046074;0;0.39938;0.33709;0.010992;;0;0;;16.6602;0.095264;1.1981;0.014656;0;0.032976;;1.6598;;0;0.58337;;3.4442;0.03664;0;0.16488;1.4509;0.01832;0.31877;0.21251;0;0.051296;0.062288;0;0;0;0;0;;0;0;0;24.4352;2.781;0.015594;0;0.31877;9.8342;0;0.003565;0;0;3.5431;12.6738;0.74746;;0.05496;0;0.058624;0;0;2.9935;0.05496;0.010992;0;0;0.084272;;0;0;4.8401;0.010992;0.56426;0;;0.003664;0;0.029312;16.8031;0.021984;42.8578;0.45434;0;0;9.2589;0.24915;;11.5782;0;0;204.158;144.8893;205.2205;143.8268;108.2198;17.8107;53.6739;30.4478;110.5392;63.3286;52.9741;7.7897;12.4649;0;349.0473
1967;0;0;0.83173;;0.85371;;0;1.33;0;;6.903;0.010992;0;0.86104;3.9351;0.086585;0.81707;0;6.4963;0.003664;0;0.36274;;0.0048523;;0.75112;0;0;0;0;0;0;10.0064;1.9712;0;0.007328;0.010992;0.23083;0;0.11725;0;0.032976;;0.010992;0.12824;0;0;0.051296;0;0;0.05496;0.4067;3.8948;0;0.010992;0.076944;1.7221;0.010992;0;;0;0.058624;0;0.007328;;0.24915;0.095264;9.4238;0;0.25282;0;0;0;12.3037;0.076944;0.61555;3.206;0;0;0;0.18686;0.007328;0;0.021984;0.05496;0.098928;2.6454;0;0.13557;2.2021;1.2128;0.084272;1.0479;13.0768;0.03664;24.1861;0.6009;33.5622;0;0;1.9492;0;12.7287;0;0;0;1.5022;;0.087936;0.11358;;0;0;0;0;0.025648;0;0.19786;;0.010992;0.39938;;0;0.003664;0.029312;0.12091;0;0.0040314;0;0.44334;0.42502;0.010992;;0;0;;17.2941;0.076944;1.0039;0.014656;0;0.065952;;1.7074;;0.75112;0.87338;;3.8435;0.032976;0;0.12458;2.2424;0.01832;0.26014;0.2235;0;0.0916;0.087936;0;0;0;0;0;;0;0;0;28.1945;3.5797;0.013645;0;0.3261;11.4097;0;0.0031194;0;0;7.35;15.1946;1.6561;;0.087936;0;0.032976;0;0;3.5944;0.05496;0.010992;0;0;0.18686;;0;0;4.8475;0.010992;0.39205;0;;0;0;0.032976;17.4443;0.065952;48.3501;0.43968;0;0;9.3432;0.3151;;4.4041;0;0;212.9145;160.6486;213.7829;159.7803;111.6415;24.263;57.5101;32.9247;114.1776;65.1496;58.5654;8.4858;12.4613;0;373.5631
1968;0;0;0.80242;;0.8757;;0;1.3484;0;;7.8923;0.010992;0;0.72914;3.664;0.090551;0.92699;0;7.0202;0.003664;0;0.41037;;0.0034659;;0.79875;0;0;0;0;0;0;10.9004;1.418;0;0.007328;0.010992;0.26381;0;0.10992;0;0.032976;;0.025648;0.1429;0;0;0.14656;0;0;0.051296;0.57525;1.5022;0;0.010992;0.12458;0.41403;0.010992;0;;0;0.062288;0;;;0.27114;0.10626;10.7355;0;0.2748;0;0;0;13.5861;0.095264;0.47266;2.2204;0;0;0;0.19786;0.007328;0;0.021984;0.05496;0.15755;3.2939;0;0.13923;2.0518;0.8757;0.2748;1.1322;13.5568;0.032976;24.7467;0.89768;28.9566;0;0;1.9346;0;14.0368;0;0;0;2.1618;;0.084272;0.12824;;0;0;0;0;0.065952;0;0.19419;;0.010992;0.41403;;0;0.007328;0.03664;0.1429;0;0.0028796;0;0.47266;0.49464;0.010992;;0;0;;21.8484;0.062288;1.2641;0.014656;0;0;;1.865;;1.1652;0.91338;;4.646;0.03664;0;0.11725;2.5611;0.021984;0.21251;0.20152;0;0.10626;0.11725;0;0;0;0;0;0;0;0;0;33.8334;4.7009;0.0097463;0;0.30045;13.1721;0;0.0022281;0;0;10.4937;17.3124;1.8393;;0.11725;0;0.025648;0;0;3.6823;0.043968;0.010992;0;0;0.1319;;0;0;5.1626;0.010992;0.25282;0;;0;0;0.032976;18.6754;0.10992;52.1167;0.44334;0;0;9.6143;0.24915;;0.29312;0;0;225.2466;169.5787;226.0564;168.7689;122.629;24.4059;55.5865;34.4196;125.1659;69.3156;63.2773;9.7646;12.8643;0;394.8253
1969;0;0;0.6815;;0.6925;;0;1.2384;0;;7.7933;0.010992;0;0.83173;3.0265;0.11996;0.53128;0;9.215;0.014656;0;0.44701;;0.0027728;;0.90867;0;0;0;0;0;0;11.428;1.2897;0;0.007328;0.01832;0.29678;0;0.10992;0;0.007328;0;0.010992;0.16122;0;0;0.069616;0;0;0.062288;2.5135;1.887;0;0.010992;0.17221;0.28213;0.010992;0;;0;0.058624;0;;;0.3151;0.14656;12.5529;0;0.15755;0;0;0;14.8392;0.095264;0.43968;2.1618;0;0;0;0.2235;0.007328;0;0.01832;0.087936;0.062288;3.3892;0;0.11725;1.7441;0.65952;0.2748;1.3227;19.5401;0.03664;26.6922;0.89035;34.4489;0;0;1.8796;0;13.7034;0;0;0;1.3264;;0.10626;0.13557;;0;0;0;0;0.10626;0;0.20518;;0.003664;0.35541;;0;0.007328;0.040304;0.75478;0;0.0023037;0;0.50563;0.59357;0.010992;;0;0;;27.0183;0.076944;1.2348;0.010992;0;0.007328;;1.9969;;1.1358;1.2101;;6.39;0.084272;0;0.10626;2.1141;0.021984;0.2345;0.18686;0;0.12458;0.12458;0;0;0;0;0;;0;0;0;36.6547;3.9681;0.0077971;0;0.27114;12.9596;0;0.0017825;0;0;9.3652;17.3674;1.0919;;0.16488;0;0.047632;0;0;3.6896;0.032976;0.010992;0;0;0.1429;;0;0;4.6972;0.010992;0.20518;0;;0;0;0.03664;19.7013;0.032976;45.3383;0.2345;0;0;8.8705;0.25648;;1.9419;0;0;240.0451;173.3677;241.463;171.9497;138.0796;22.4567;59.3715;33.7454;140.6793;77.893;57.686;9.5777;11.9776;0;413.4128
