;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Macedonia (Republic of);Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands Antilles;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States of America;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe;KP Annex B;Non KP Annex B;OECD;Non-OECD;EU28;Africa;Asia;Central America;Europe;Middle East;North America;Oceania;South America;Statistical Difference;World
1960;0.12824;0.3261;1.2568;;0.12458;;0;3.9058;0.32368;;58.9281;18.0489;0.05712;0;0;0.72943;0.003664;6.8195;67.9049;0;0;0;;0.98093;;4.9647;;0;18.6241;0;0;0;49.6362;0;0;0;0;4.5104;748.3757;6.6795;0;0;;0;0;1.0131;0.11358;0;96.533;22.0609;1.0406;14.8758;0;0;0.003664;0;0.41403;0;0;;15.0005;0.025648;0.003664;0;;0.01832;7.262;180.8404;0;0;0;0;0.83777;707.2106;0.16488;0;3.1181;0.12091;0;0;0;0;0;0;0;0;0.4177;36.4898;0.058624;97.129;1.821;0.007328;7.5955;0.61189;0.12091;27.883;0;139.1441;0;127.6229;0.11358;;0;2.9988;0;1.7929;0.010992;;0;0.087936;;1.5803;10.7538;0.014656;4.2086;0.047632;0.24192;0.0916;;0;0.007328;;0;0;0.007328;3.4918;0.79875;0.70336;;0.8757;1.3374;0.93798;;;0;;40.7986;0.6815;6.5952;0;0;1.4473;;3.0081;;;5.1586;;0;0;0;0.35174;0.17954;0.007328;188.8682;2.3633;0;0.003664;10.2372;3.4717;0;15.1909;536.3292;0;;0;0;0;0;0;19.1487;;0.029312;0.010992;22.5506;3.459;0;0;87.4414;31.7962;0.68883;;0.029312;0;0.032976;0;0.032976;10.1163;6.8773;0.010992;8.8999;0.78699;0.14656;;0;0;0.003664;0.11358;11.3218;0.6188;;0;264.6009;0;448.0522;0.003664;917.9639;0.17221;8.3935;;0.095264;5.4887;;0;4.0374;4.6718;3962.864;1221.4176;3153.4145;2030.8671;1979.7295;103.552;1184.1026;0.12458;2826.2663;12.0839;971.2421;66.2231;20.6869;-18.0415;5166.24
1961;0.17587;0.32243;0.76578;;0.062288;;0;3.5394;0.31884;;59.9724;17.6605;0.056266;0;0;0.71853;0.003664;6.7175;66.9889;0;0;0;;1.0338;;4.6789;;0;21.4307;0;0.0025125;0;45.5948;0;0;0;0;4.4408;522.4754;7.1924;0;0;;0;0;1.0676;0.42502;0;103.902;24.4499;1.0589;14.4581;0;0;0.003664;0;0.78043;0;0;;14.776;0.025648;0.007328;0;;0.003664;6.2325;181.7271;0;0;0;0;0.82523;711.6477;0.15389;0.003664;3.2829;0.12091;0;0;0;0;0;0;0;0;0.45067;39.0253;0.043968;104.871;1.5279;0.003664;8.3063;0.52395;0.11358;30.1694;0.003664;160.8643;0;125.713;0.098928;0;0;2.9539;0;1.7661;0.003664;;0;0.10259;;1.5567;10.6952;0.01832;4.4353;0.014656;0.20003;0.098928;;0;0.007328;;0;0;0.014656;3.5761;0.88669;0.74126;;0.8647;1.4986;0.70715;;;0;;40.3003;0.66318;6.434;0;0;1.4766;;2.8213;;;5.0816;;0;0;0;0.43235;0.17954;0.003664;194.7819;2.7407;0;0.003664;11.9007;3.4197;0;15.9567;528.3028;0.0048155;;0;0;0;0;0;20.1804;;0.029312;0.007328;24.2721;3.6453;0;0;90.4715;33.5769;0.37373;;0.025648;0;0.043968;0;0.003664;9.3872;5.9796;0.010992;9.2406;0.77522;0.12091;;0;0;0;0.13557;10.6219;0.60954;;0;260.641;0;442.8787;0.007328;887.4428;0.12458;8.2679;;0.11358;5.7268;;0;3.3384;3.8629;3960.3297;1007.0504;3160.261;1807.1191;2002.2401;105.0212;989.3957;0.43602;2836.8902;11.2778;936.7602;67.0732;20.5257;-24.6441;4942.736
1962;0.29678;0.36274;0.4067;;0.0916;;0;2.0079;0.31737;;61.4856;18.0855;0.056007;0;0;0.76619;0.003664;6.6866;68.5424;0;0;0;;1.0467;;5.6682;0;0;24.7283;0;0;0;47.0311;0;0;0;0;4.7705;411.9252;7.7054;0;0;;0;0;1.081;0.12458;0;109.8393;28.3337;0.83906;15.8908;0;0;0;0;0.70715;0;0;;14.7081;0.021984;0.003664;0;;0.01832;6.5183;186.3071;0;0;0;0;0.82144;732.0159;0.0916;0.003664;3.2976;0.10992;0;0;0;0;0;0;0;0;0.41037;39.5456;0.043968;114.1336;1.3007;0.003664;8.2293;0.54227;0.11725;31.8731;0.003664;154.2141;0;125.1352;0.11725;0;0;2.9404;0;1.758;0.007328;;0;0.014656;;1.5495;10.2299;0.014656;4.4907;0.014656;0.18964;0.087936;;0;0.007328;;0;0;0.007328;3.719;1.4216;0.75051;0;0.79142;1.5206;0.916;;;0;;42.2606;0.37373;5.6206;0;0;1.5975;;3.1034;;;5.4186;;0;0;0;0.4067;0.21251;0.003664;202.2601;2.6088;0;0;13.9195;3.404;0;18.6168;525.8748;0;;0;0;0;0;0;20.4324;;0.043968;0.029312;25.6591;3.6908;0;0;93.2598;34.5149;0.37739;;0.021984;0;0.025648;0;;8.6764;6.2508;0.010992;10.4644;0.77165;0.15022;;0;0;0.003664;0.0916;11.897;0.60674;;0;259.4432;0;437.3094;0.010992;920.8182;0.10992;8.2299;0.010992;0.37739;7.1228;;0;3.1648;3.6621;4033.6821;918.06;3235.0538;1716.6883;2049.8038;106.67;890.3981;0.13557;2881.7009;12.5785;971.7001;67.5092;21.0497;-1.6781;4950.064
1963;0.26381;0.28213;0.25282;;0.021984;;0;2.3047;0.3297;;63.728;19.5987;0.058182;0;0;0.82702;0;6.9463;71.2831;0;0;0;;1.1528;;5.4191;0;0;26.7838;0;0;0;46.5988;0;0;0;0;4.602;406.1251;8.2147;0;0;;0;0;1.1905;0.18686;0;115.7529;30.3196;0.81707;16.1179;0;0;0.003664;0;0.70715;0;0;;15.2792;0.025648;0.010992;0;;0.01832;6.9213;197.5152;0;0;0;0;0.85333;761.687;0.11358;0.003664;4.3712;0.1429;0;0;0;0;0;0;0;0;0.35907;43.913;0.029312;122.0442;1.5938;0.003664;7.8739;0.60456;0.05496;32.7452;0.003664;155.3389;0;129.9941;0.11358;0;0;3.0545;0;1.8263;0.021984;;0;0.025648;;1.6097;9.6107;0.01832;4.9458;0.040304;0.18013;0.0916;;0;0.007328;;0;0;0.003664;4.078;1.0259;0.82657;0;0.84638;1.3593;0.57525;;;0;;43.521;0.43602;6.02;0;0;1.4216;;2.6894;;;5.8488;;0;0;0;0.31877;0.20152;0.003664;215.4725;2.9422;0;0;16.7738;3.5362;0;19.9505;546.2941;0;;0;0;0;0;0;22.5029;0;0.014656;0.021984;27.0405;4.0649;0;0;96.6014;34.4782;0.38838;;0.025648;0;0.051296;0;;8.8009;7.4086;0.007328;11.0323;0.80161;0.15022;;0;0;0.003664;0.098928;12.9596;0.6303;;0;269.5171;0;439.3026;0.007328;987.0083;0.11725;8.5495;0.007328;0.45067;6.6905;;0;3.0062;3.4785;4214.2854;938.0168;3385.5817;1766.7204;2129.6603;109.1872;903.965;0.19786;2995.806;13.6521;1037.8536;70.2096;21.4307;-37.3581;5114.944
1964;0.30045;0.33342;0.28213;;0.076944;;0;2.5575;0.34011;;67.1355;18.9356;0.06002;0;0;0.8075;0;7.1657;65.0213;0;0;0;;1.2911;;6.1702;0;0;32.1186;0;0;0.032976;51.9189;0;0;0;0;4.4041;401.5707;7.7054;0;0;;0;0;1.3334;0.23816;0;118.6072;33.1409;0.93798;14.9088;0;0;0.003664;0;1.2128;0;0;;15.7618;0.003664;0.007328;0;;0.010992;8.0132;190.2715;0;0;0;0;0.88029;755.6121;0.12091;0;4.9354;0.0916;0;0;0;0;0;0;0;0;0.33342;48.0057;0.032976;117.0721;1.2055;0.003664;7.8813;0.72547;0.07328;27.7804;0.003664;160.2084;0;134.1005;0.0916;0;0;3.151;0;1.8839;0.029312;;0;0.003664;;1.6605;10.12;0.014656;5.5393;0.032976;0.16488;0.076944;;0;0.010992;;0;0;0.003664;4.2356;1.4106;0.92577;0;0.99294;1.341;0.59357;;0;0.025648;;38.1276;0.74013;6.3387;0;0;1.7257;;2.9202;;0;5.7108;;0;0;0;0.33709;0.15022;0.003664;224.6398;3.1877;0;0;18.3347;3.6479;0;20.9544;563.5509;0;;0;0;0;0;0;25.2035;0;0;0.021984;27.7073;4.5527;0;0;102.5517;32.5436;0.46899;;0.025648;0;0;0.014656;0.010992;8.7533;5.1736;0.010992;12.2011;0.82694;0.11725;;0;0;0.003664;0.10626;14.3592;0.65021;;0;278.0309;0;426.2404;0.003664;1049.1754;0.084272;8.8195;0.029312;0.53128;7.2584;;0;2.7517;3.184;4294.0431;951.7973;3435.9173;1809.9231;2109.5687;115.5992;909.8891;0.24915;3003.3912;15.2019;1105.4471;74.2546;21.8081;11.9996;5257.84
1965;0.38106;0.39571;0.26381;;0.05496;;0;2.6014;0.35214;;71.0596;17.9646;0.062142;0;0;0.76392;0;7.4191;61.8373;0;0;0;;1.2658;;6.9433;0;0;33.9103;0;0;0.07328;54.1759;0;0;0;0;4.3602;432.9932;7.1924;0;0;;0;0;1.3072;0.24182;0;114.5648;41.9455;1.1798;13.7217;0;0;0.003664;0;1.0259;0;0;;16.3193;0.025648;0.007328;0;;0.007328;7.2254;178.129;0;0;0;0;0.91142;716.9166;0.07328;0;6.3754;0.076944;0;0;0;0;0;0;0;0;0.32976;45.8476;0.01832;128.7127;0.76211;0.003664;6.6612;0.75478;0.021984;30.5358;0.003664;165.7484;0;138.8434;0.14656;0;0;3.2625;0;1.9506;0.025648;;0;0.01832;;1.7193;9.607;0.010992;5.4306;0.040304;0.17954;0.058624;;0;0.003664;;0;0;0.003664;4.0707;1.341;0.9076;0;0.7731;1.2677;0.37006;;0;0.032976;;35.244;0.79142;5.8404;0;0;1.8723;;3.3342;;0;5.4026;;0;0;0;0.29678;0.15022;0.003664;225.5925;3.1913;0;0;19.6354;3.7769;0;22.2881;583.4825;0;;0;0;0;0;0;24.709;0;0.010992;0.010992;26.763;4.4634;0;0;111.0998;34.4709;0.37006;;0.01832;0;0.01832;0.021984;0.080608;7.8666;4.4261;0.010992;11.6735;0.85618;0.14656;;0;0;0.003664;0.1319;14.1833;0.67321;;0;287.8643;0;422.2687;0.003664;1090.6189;0.10992;9.1315;0.014656;0.56792;7.6871;;0;3.2207;3.4039;4313.3102;1018.0846;3423.0595;1908.3353;2046.7452;124.8948;972.6923;0.25282;2969.7827;15.0004;1148.9608;77.7134;22.0976;18.0452;5349.44
1966;0.42869;0.47632;0.27114;;0.087936;;0;2.5868;0.36437;;71.4004;16.8434;0.064301;0;0;0.65998;0.003664;7.6768;58.1916;0;0;0;;1.1993;;8.3649;0;0;34.7457;0;0;0.098928;52.5821;0;0;0;0;4.3345;469.7688;6.4193;0;0;;0;0;1.2386;0.16854;0.003664;112.8659;45.2614;0.90867;14.0588;0;0;0.003664;0;0.67418;0;0;;16.886;0.025648;0.007328;0;;0.003664;6.7894;164.466;0;0;0;0;0.94307;680.1007;0.1429;0;6.3057;0.10626;0;0;0;0;0;0;0;0;0.28213;44.2172;0.014656;129.2989;0.89768;0.003664;7.4196;0.75478;0.01832;31.6716;0.003664;170.4493;0;143.6652;0.12824;0;0;3.3758;0;2.0183;0.010992;;0;0;;1.779;8.6654;0.010992;5.1454;0.040304;0.20885;0.062288;;0;0.007328;;0;0;0.007328;4.4334;1.3374;0.85993;0;1.1908;1.1615;0.25282;;0;0.032976;;32.463;0.916;5.8258;0;0;1.6928;;3.2793;;0;4.6675;;0.003664;0;0;0.37739;0.13557;0.003664;228.934;3.2426;0;0;22.5263;3.908;0;24.2557;603.746;0;;0;0;0;0;0;23.411;0;0;0.014656;26.3661;4.2289;0;0;109.0443;31.9208;0.084272;;0.021984;0;0.003664;0.051296;0.20152;7.5662;3.5651;0.010992;11.3694;0.88592;0.19419;;0;0;0.003664;0.21251;15.8724;0.69659;;0;297.8614;0;403.3441;0.010992;1132.7183;0.098928;9.4486;0.040304;0.47266;8.0718;;0;2.8359;4.9904;4312.0264;1066.5278;3393.5668;1984.9874;1970.5953;123.8395;1025.3533;0.18686;2921.7457;16.6712;1189.862;78.1861;22.7095;36.8379;5415.392
1967;0.39938;0.52395;0.19053;;0.05496;;0;2.9385;0.36745;;75.4051;15.7515;0.064844;0;0;0.64818;0.003664;7.7417;56.8726;0;0;0;;1.104;;8.1231;0;0;37.6989;0;0;0.03664;57.316;0;0;0;0;4.5544;383.5988;7.9582;0;0;;0;0;1.1402;0.24549;0;109.474;49.8304;0.94898;12.5675;0;0;0.003664;0;1.1102;0;0;;17.0288;0.003664;0.003664;0;;0.014656;6.5952;161.9158;0;0;0;0;0.95105;653.8664;0.080608;0;6.3131;0.12091;0;0;0;0;0;0;0;0;0.23083;39.0326;0.010992;131.6329;0.61922;0.003664;7.6431;0.76944;0.01832;35.1817;0.003664;181.4999;0;144.8799;0.1319;0;0;3.4043;0;2.0354;0.003664;;0;0.003664;;1.794;8.1158;0.010992;4.7368;0.043968;0.1429;0.047632;;0;0.003664;;0;0;0;5.016;1.4363;0.79164;0;1.1835;1.1102;0.5496;;0;0.051296;;29.7334;0.85738;5.1846;0;0;0.74013;;3.1913;;0;4.584;;0.007328;0;0;0.42136;0.10626;0;232.6677;2.8396;0;0.003664;23.4093;3.9411;0;26.4468;608.8508;0;;0;0;0;0;0;21.552;0;0;0.007328;25.5737;3.8931;0;0;112.9062;32.1406;0.37006;;0.021984;0;0.003664;0.043968;0.22717;7.5405;2.748;0.003664;11.7908;0.89341;0.37373;;0;0;0;0.35907;15.0334;0.70248;;0;300.3798;0;368.4812;0.003664;1163.0489;0.10626;9.5285;0.043968;0.59723;6.8224;;0;3.6787;4.177;4299.9785;991.7681;3369.664;1922.0827;1902.3468;127.1042;958.8514;0.26381;2857.9227;15.8321;1225.5237;81.5057;24.743;13.7253;5305.472
1968;0.33342;0.5899;0.20152;;0.10259;;0;2.3669;0.36386;;76.5849;15.3851;0.064211;0;0;0.7031;0;7.6661;58.4664;0;0;0;;1.1115;;8.5335;0;0;39.2964;0;0;0.095264;60.5769;0;0;0;0;4.6863;412.7203;7.9582;0;0;;0;0;1.1479;0.15389;0.003664;114.1668;55.898;0.74013;12.333;0;0;0.003664;0;1.1542;0;0;;16.8625;0.014656;0.003664;;;0.003664;7.8703;155.2437;0;0;0;0;0.94176;659.6226;0.062288;0;6.6538;0.10259;0;0;0;0;0;0;0;0;0.16854;38.505;0.010992;136.8614;0.47266;0.003664;8.8632;0.78776;0.025648;32.7525;0.003664;200.1204;0;143.4654;0.10992;0;0;3.3711;0;2.0155;0.010992;;0;0.010992;;1.7765;8.6983;0.010992;4.7687;0.05496;0.12824;0.047632;;0;0.007328;;0;0;0.003664;5.8148;1.7001;0.79697;0;1.0626;1.4803;0.21984;;0;0.062288;;27.3115;0.92333;4.8401;0;0;0.007328;;3.173;;0;4.9724;;0.003664;0;0;0.42136;0.087936;0.003664;244.3338;2.5868;0;0.003664;20.0457;3.9026;0;29.8909;602.9063;0;0;0;0;0;0;0;21.6971;0;0;0.021984;26.67;3.9193;0;0;118.4718;32.7342;0.11358;;0.003664;0;0.003664;0.065952;0.27846;6.6172;2.4109;0.003664;11.9117;0.88469;0.34808;;0;0;0;0.31877;15.3375;0.69562;;0;297.4471;0;370.2985;0.010992;1139.6029;0.087936;9.4355;0.007328;0.98195;7.2217;;0;3.3269;4.9574;4311.6954;1034.6046;3383.1247;1963.1752;1924.0328;132.5049;1013.3774;0.16488;2870.5176;16.1692;1206.1009;82.3594;25.1057;-40.828;5305.472
1969;0.36274;0.68883;0.45067;;0.0916;;0;2.5904;0.36917;;77.9772;15.3265;0.065147;0;0;0.64863;0;7.7778;55.887;0;0;0;;1.1053;;9.4165;0;0;41.1357;0;0;0.032976;59.1186;0;0;0;0;4.7302;501.1766;8.5151;0;0;0;0;0;1.1415;0.1832;0.003664;118.7112;60.489;0.88669;11.4976;0;0;0.003664;0;1.2604;0;0;;17.1083;0.025648;0.003664;;;0.003664;9.4458;155.4635;0;0;0;0;0.95549;686.1829;0.051296;0;7.9948;0.080608;0;0;0;0;0;0;0;0;0.10259;37.3068;0.003664;136.3521;0.56059;0.003664;8.4052;1.3007;0.025648;32.9064;0.003664;221.0235;0;145.5564;0.084272;0;0;3.4202;0;2.0449;0.025648;;0;0.003664;;1.8024;9.2479;0.007328;4.742;0.051296;0.084272;0.058624;;0;0.003664;;0;0.007328;0.003664;6.2068;1.876;0.79252;0;1.0589;1.6415;0.4983;;0;0.062288;;24.1677;0.77677;5.071;0;0;0.058624;;3.6017;;0;4.5872;;0.010992;0;0;0.74746;0.076944;0.003664;258.1691;2.7297;0;0.003664;20.0311;3.9595;0;33.9213;611.6935;0;;0;0;0;0;0;21.5758;0;0;0.007328;27.7316;3.8974;0;0;120.7105;32.7965;0.062288;;0.014656;0;0.003664;0.069616;0.30411;6.4706;2.3156;0.010992;11.2228;0.89758;0.39205;;0;0;0;0.32243;16.1656;0.70576;;0;301.7823;0;367.9462;0.007328;1157.9999;0.080608;9.573;0;0.80974;7.2327;;0;2.8872;5.1919;4410.0258;1135.0059;3463.6635;2081.3682;1969.446;135.1906;1128.4063;0.20152;2929.4883;17.5322;1223.4206;83.8287;26.9634;-100.3276;5444.704
