;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Macedonia (Republic of);Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands Antilles;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States of America;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe;KP Annex B;Non KP Annex B;OECD;Non-OECD;EU28;Africa;Asia;Central America;Europe;Middle East;North America;Oceania;South America;Statistical Difference;World
1960;0;0;0;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.54594;;0;0;0;0;0;3.206;0;0;0;0;1.5352;0;0.3664;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.6811;0;0;0;0;0;0;0;;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;;0;0;0;8.6873;0;0;;0;0;0;;;0;;0;0;0;0;0;0;;0;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;30.3159;0;0;;31.8035;0;;0;0;0;33.5219;55.6195;43.7445;45.397;0;0;0;0;0;12.6811;42.2093;0;34.2511;53.7545;142.896
1961;0;0;0;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.5496;;0;0;0;0;0;3.9938;0;0;0;0;2.2607;0;0.30778;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.3885;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;;0;0;0;7.1558;0;0;;0;0;0;;;0;;0;0;0;0;0;0;;0;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;28.1981;0;0;;29.3633;0;;0;0;0;32.1919;54.0257;41.6084;44.6092;0;0;0;0;0;14.3885;39.3477;0;32.4814;67.6704;153.888
1962;0;0;0;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.52029;0;0;0;0;0;0;4.6093;0;0;0;0;2.9935;0;0.27114;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.31877;0;0.043968;0;0;0;15.7735;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;;0;0;0;4.2942;0;0;0;0;0;0;;;0;;0;0;0;0;0;0;;0;;;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;22.922;0;0;0;34.1815;0;;0;0;0;27.8501;58.0781;35.1378;50.7904;0.31877;0;0.043968;0;0.31877;15.7735;31.8255;0;37.9664;75.2879;161.216
1963;0;0;0;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.49464;0;0;0;0;0;0;4.5324;0;0;0;0;2.9605;0;0.34075;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.45067;0;0.13557;0;0;0;17.8583;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;;0;0;0;5.921;0;0;0;0;0;0;;;0;;0;0;0;0;0;1.1468;;0;;;0;;0;0;0;0;0;0;0;0;5.7708;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;20.6503;0;0;0;30.2463;0;;0;0;0;25.6333;64.8748;34.5149;55.9932;0.45067;1.1468;0.13557;0;0.45067;23.6291;31.1037;0;34.0422;81.6999;172.208
1964;0;0;0;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.55693;0;0;0;0;0;0;4.2319;0;0;0;0;2.5648;0;0.67051;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.53128;0;0.47632;0;0;0;20.5477;0;0;0;0;0;0;0;0;17.7594;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;;0;0;0;7.8776;0;0;0;0;0;0;;0;0;;0;0;0;0;0;1.876;;0;;0;0;;0;0;0;0;0;0.15755;0;0;5.9613;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;18.4116;0;0;0;31.166;0;;0;0;0;23.1748;89.6141;33.6172;79.1717;0.53128;1.876;0.47632;0;0.53128;44.2684;30.5211;0;35.1158;74.0751;186.864
1965;0;0;0;;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.64853;0;0;0;0;0;0;4.2099;0;0;0;0;2.5062;0;1.7514;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.4067;0;0.75112;0;9.651;0;25.5674;0;0;0;0;0;0;0;0;18.789;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;;0;0;0;5.91;0;0;0;0;0;0;;0;0;;0;0;0;0;0;4.9464;;0;;0;0;;0;0;0;0;0;0.065952;0;0;5.9613;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;17.1878;0;0;0;32.082;0;;0;0;0;21.8045;108.6303;30.2207;100.2141;0.4067;4.9464;0.75112;0;0.4067;59.9687;27.3078;0;37.054;71.0853;201.52
1966;0;0;0;;0;;0;2.345;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.7731;0;0;0;0;0;0;4.2429;0;0;0;0;2.2204;0;1.7111;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21984;0;0.83173;0;10.8674;0;33.6648;0;0;0;0;0;0;0;0;19.0418;0;0;0;0;;0;0;;0;0;0;0;0;0;0;;0;0;;0;0;0;6.6612;0;0;0;0;0;0;;0;0;;0;0;0;0;0;5.1919;;0;;0;0;;0;0;0;0;0;0.076944;0;0;5.9613;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;20.2326;0;0;0;30.5211;0;;0;0;0;24.6954;119.8678;33.5769;110.9862;0.21984;5.1919;0.83173;0;0.21984;69.5354;31.1367;0;37.6476;75.2769;219.84
1967;0;0;0;;0;;0;2.7956;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.84272;0;0;0;0;0;0;4.1843;0;0;0;0;2.4659;0;1.2531;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26381;0;1.4546;0;10.0064;0;35.9732;0;0;0;0;0;0;0;0;18.1991;0;0;0;0;;0;16.041;;0;0;0;0;0;0;0;;0;0;;0;0;0;5.8038;0;0;0;0;0;0;;0;0;;0;0;0;0;0;4.7192;;0;;0;0;;0;0;0;0;0;0.15389;0;0;6.2508;0;0;0;0;0;0;0;;0;0;0;18.6827;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0;0;26.3845;0;0;0;35.3063;0;;0;0;0;30.8326;159.9483;39.1022;151.6786;0.26381;20.7602;1.4546;0;0.26381;89.1121;36.3725;0;42.8175;51.0432;241.824
1968;0;0;0;;0;;0;2.8762;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0.98928;0;0;0;0;0;0;4.2942;0;0;0;0;2.9385;0;0.98562;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.21984;0;1.3703;0;8.7313;0;41.0441;0;0;0;0;0;0;0;0;16.7372;0;0;0;0;;0;27.1429;;0;0;0;0;0;0;0;;0;0;;0;0;0;5.8074;0;0;0;0;0;0;;0;0;;0;0;0;0;0;2.5282;;0;;0;0;;0;0;0;0;0;0.27846;0;0;5.8477;0;0;0;0;0;0;0;0;0;0;0;20.2509;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;0;0.24549;0;27.8171;0;0;0;33.6941;0;;0;0;0;32.5766;171.2224;41.3226;162.4764;0.46533;29.6711;1.3703;0;0.46533;92.6113;37.9187;0;41.7623;63.673;267.472
1969;0;0;0;;0;;0;2.8323;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0;;1.2751;0;0;0;0;0;0;4.4737;0;0;0;0;3.6164;0;1.352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.35907;1.3887;0;0;;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.26381;0;1.2604;0;10.3838;0;42.8651;0;0;0;0;0;0;0;0;18.0892;0;0;0;0;;0;29.0445;;0;0;0;0;0;0;0;;0;0;;0;0;0;6.1189;0;0;0;0;0;0;;0;0;;0.080608;0;0;0;0;7.8923;;0;;0;0;;0;0;0;0;0;0.57158;0;0;5.2065;0;0;0;0;0;0;0;;0;0;0;23.5925;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;;0;0;19.236;1.4803;0;28.3154;0;0;0;34.339;0;;0;0;0;34.6138;209.4232;44.3491;199.688;1.8247;38.3254;1.2604;0;1.8247;119.3731;38.908;0;44.3454;49.0829;293.12
