;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Macedonia (Republic of);Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands Antilles;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States of America;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe;KP Annex B;Non KP Annex B;OECD;Non-OECD;EU28;Africa;Asia;Central America;Europe;Middle East;North America;Oceania;South America;Statistical Difference;World
1960;0;0.084272;0;;0;;0;2.3633;0.2497;;0;2.9202;1.6229;0;0;0.13212;0.003664;2.2455;0.062288;0;0;0;;0.017002;;0.11358;;0.30411;0;0;0;0;21.537;0;0;0;0;0.0916;1.9932;0.68883;0;0;;0;0;0.093076;0;0;1.4294;0;0;0;0;0;0;0;0;0;0;;0.11788;0;0;0;;0;0;5.6865;0;0;0.014656;0;0.65043;1.3484;0;0;0;0;0;0;0;0;0;0;0;0;0;1.0113;0;0;4.6679;1.1578;0;1.8393;0;12.0802;0;1.6012;0;2.4481;0;;1.8064;0.22076;0;0.25523;0;;0;0;;0.41231;0;0;0;0;0;0.14656;;0;0;;0;0;0;6.379;0;0;;0.01832;0;0.040304;;;0;;0.64853;0;0;0;0;0;;0;;;1.0001;;0;0;0;0.12458;0;0.010992;1.4693;0;0;0;0;0.5023;0;20.0018;59.8681;0;;0;0;0;0;0;0.11237;;0;0;1.227;0.030366;0;0;0;0;0;;0;0;0;0;0;0;0;0;0.047632;0.23128;0;;0;0;1.4656;0.014656;0;0.90592;;0;14.0283;0;0.15022;0;630.0248;0;5.5184;;9.5008;0;;0;0;0;776.0032;48.7339;687.8151;136.922;48.9439;0.047632;21.7806;1.4693;125.8016;4.8035;657.9408;0;12.8936;6.9909;831.728
1961;0;0.084272;0.45067;;0;;0;4.0304;0.32422;;0;3.0888;2.1073;0;0;0.16034;0.007328;2.9156;0.069616;0;0;0;;0.019959;;0.11358;;0.2748;0;0;0;0;22.966;0;0;0;0;0.10259;2.8176;0.71082;0;0;;0;0;0.10926;0;0;1.3959;0;0;0;0;0;0;0;0;0;0;;0.15306;0;0;0;;0;0;7.9252;0;0;0.014656;0;0.84455;1.4803;0;0;0;0;0;0;0;0;0;0;0;0;0;0.92699;0;0.003664;4.9281;1.2238;0;1.9016;0.007328;12.802;0;2.0445;0;3.1787;0;0;1.8833;0.28664;0;0.3314;0;;0;0;;0.53536;0;0;0;0;0;0.1319;;0;0;;0;0;0;8.0352;0;0;;0.01832;0;0.029312;;;0;;0.87936;0;0;0;0;0;;0;;;1.2137;;0;0;0;0.12458;0;0.084272;1.854;0;0;0;0;0.65221;0;21.537;77.7356;0;;0;0;0;0;0;0.13191;;0;0;1.1982;0.035647;0;0;0;0;0;;0;0;0;0;0;0;0;0;0.069616;0.30031;0;;0;0;1.5938;0.014656;0;1.1763;;0;18.215;0;0.15022;0;636.4148;0;7.1654;;10.1126;0;;0;0;0;811.8481;59.2459;701.5296;169.5644;54.4723;0.4983;27.0569;1.6012;154.2268;5.016;667.4159;0;15.2789;8.266;879.36
1962;0;0.084272;0.68883;;0;;0;5.1076;0.40342;;0.003664;3.239;2.622;0;0;0.19797;0.007328;3.6278;0.076944;0;0;0;;0.020698;;0.10992;0;0.29312;0;0;0;0;25.9778;0;0;0;0;0.10259;2.323;1.0736;0;0;;0;0;0.11331;0;0;1.179;0;0;0;0;0;0;0;0;0;0;;0.19045;0;0;0;;0;0;9.3176;0;0;0.01832;0;1.0508;1.9676;0;0;0;0;0;0;0;0;0;0;0;0;0;0.9563;0;0.010992;5.1919;1.2384;0;2.0372;0.021984;13.3992;0;2.6601;0;3.9551;0;0;2.5428;0.35666;0;0.41235;0;;0;0;;0.66613;0;0;0;0;0;0.13557;;0;0;;0;0;0;11.8494;0;0;0;0.01832;0;0.032976;;;0;;0.96363;0;0;0;0;0;;0;;;1.4985;;0;0;0;0.12458;0;0.080608;2.0775;0;0;0;0;0.81152;0;25.4062;96.7235;0;;0;0;0;0.021984;0;0.1368;;0;0;1.012;0.036968;0;0;0;0;0;;0;0;0;0;;0;0;0;0.069616;0.37366;0;;0;0;1.6268;0.014656;0;1.4636;;0;22.6642;0;0.21618;0;676.3671;0;8.9156;0;10.6916;0;;0;0;0;885.6267;70.9521;751.6149;204.9639;61.2303;0.74013;31.5546;1.6341;185.2992;5.8624;714.1942;0.003664;17.2904;7.0532;963.632
1963;0;0.084272;0.60456;;0;;0;5.8294;0.49442;;0.007328;3.3782;3.2135;0;0.095264;0.24799;0.007328;4.4462;0.069616;0;0;0;;0.025626;;0.16488;0;0.30045;0;0;0;0;22.3651;0;0;0;0;0.10259;1.9566;1.3044;0;0;;0;0;0.14029;0;0;1.1021;0;0;0;0;0;0;0;0;0;0;;0.2334;0;0;0;;0;0;9.585;0;0;0.01832;0;1.2879;2.5611;0;0;0;0;0;0;0;0;0;0;0;0;0;1.3484;0;0.010992;5.3714;1.3923;0;2.2057;0.01832;13.6191;0;3.6713;0;4.8473;0;0;2.9165;0.43711;0;0.50536;0;;0;0;;0.8164;0;0;0;0;0;0.10626;;0;0;;0;0;0;11.6588;0;0;0;0.021984;0;0.029312;;;0;;1.1175;0;0;0;0;0.058624;;0;;;1.8771;;0;0;0;0.13923;0;0.084272;2.3413;0;0.16854;0;0;0.99458;0;27.9856;118.542;0;;0;0;0;0.029312;0;0.16937;0;0;0;0.94604;0.04577;0;0;0;0.003664;0;;0;0;0;0;;0;0;0;0.095264;0.45795;0;;0;0;1.5938;0.014656;0;1.7938;;0;27.7767;0;0.28946;0;718.4554;0;10.9268;0;11.5599;0;;0;0;0;956.9063;79.163;792.9196;243.1497;66.0884;0.71814;37.1255;1.6012;218.1271;6.826;752.4793;0.007328;19.1847;11.8347;1047.904
1964;0;0.084272;1.1908;;0;;0;6.467;0.60163;;0.007328;3.5211;3.9103;0;0.095264;0.3117;0.007328;5.4102;0.07328;0;0;0;;0.03499;;0.16122;0;0.26747;0;0;0;0;34.1595;0;0;0;0;0.10259;2.0299;1.3813;0;0;;0;0;0.19155;0;0;1.041;0;0;0;0;0;0;0;0.098928;0;0;;0.28401;0;0;0;;0;0;10.0394;0;0;0.01832;0;1.5671;3.8252;0;0;0;0;0;0;0;0;0;0;0;0;0;1.7184;0;0.021984;5.2432;1.4583;0;2.3083;0.05496;14.3043;0;4.0048;0;5.8983;0;0;3.217;0.53189;0;0.61494;0;;0;0;;0.99341;0;0;0;0;0;0.098928;;0;0;;0;0;0;13.4542;0;0;0;0.021984;0;0.007328;;0;0;;1.5389;0;0;0;0;0.10259;;0;;0;2.3594;;0;0;0;0.65952;0;0.0916;2.682;0;0.15022;0;0;1.2102;0;30.1584;144.245;0;;0;0;0;1.2384;0;0.23126;0;0;0;0.89357;0.062493;0;0;0;0.003664;0;;0;0;0;0;0;0;0;0;0.30411;0.55725;0;;0;0;2.0848;0.01832;0;2.1827;;0;33.7994;0;0.51296;0;759.0709;0;13.296;0;12.7177;0;;0;0;0;1047.7455;93.2608;851.3545;289.6518;72.4586;1.4509;43.1939;2.0921;257.474;8.5225;806.6846;0.007328;21.581;16.8178;1157.824
1965;0;0.084272;1.777;;0;;0;7.2474;0.69681;;0.007328;3.4222;4.5289;0;0.095264;0.369;0.007328;6.2661;0.095264;0;0;0;;0.051006;;0.19419;0;0.3261;0.12458;0;0;0;38.036;0;0;0;0;0.11358;2.1105;1.7038;0;0;;0;0;0.27923;0;0;0.93849;0;0;0;0;0;0;0;0.095264;0;0;;0.32895;0;0;0;;0;0;10.0723;0;0;0.021984;0;1.8151;5.5363;0;0;0;0;0;0;0;0;0;0;0;0;0;2.3413;0;0.28213;6.0566;0.95264;0;2.3779;0.13557;14.5058;0;3.609;0;6.8315;0;0;3.4442;0.61604;0;0.71223;0;;0;0;;1.1506;0;0;0;0;0;0.098928;;0;0;;0;0;0;15.7662;0;0;0;0.021984;0;0.014656;;0;0;;3.0155;0;0;0;0;0.18686;;0;;0;2.793;;0;0;0;0.62288;0;0.10626;3.151;0;0.15389;0;0;1.4017;0;33.489;167.0659;0;;0;0;0;1.9749;0;0.33711;0;0;0;0.80557;0.091099;0;0;0;0.007328;0;;0;0;0;0;0;0;0;0;0.56426;0.64541;0;;0;0;2.2497;0.01832;0;2.528;;0;39.1468;0;1.6854;0;782.6048;0;15.3995;0;13.4725;0;;0;0;0;1112.222;106.5563;886.269;332.5093;81.7521;2.1215;49.2855;2.257;296.1051;9.1344;836.4069;0.007328;23.4606;15.9897;1234.768
1966;0;0.10259;1.8503;;0;;0;7.8483;0.77288;;0.007328;3.6713;5.0233;0;0.11358;0.41689;0.007328;6.9502;0.20152;0;0;0;;0.053963;;0.24549;0;0.28946;0.18686;0;0;0;42.4218;0;0;0;0;0.11358;2.5685;2.0225;0;0;;0;0;0.29542;0;0;1.041;0;0;0;0;0;0;0;0.10626;0;0;;0.36486;0;0;0;;0;0;10.5926;0;0;0.021984;0;2.0132;6.6795;0;0;0;0;0;0;0;0;0;0;0;0;0;3.1987;0;0.31144;6.0712;1.0406;0;2.682;0.17954;15.8395;0;3.7006;0;7.5773;0;0;4.7632;0.68329;0;0.78998;0;;0;0;;1.2762;0.010992;0;0;0;0;0.11358;;0;0;;0;0;0;17.012;0;0;0;0.025648;0;0.021984;;0;0;;5.7195;0;0;0;0;0.33709;;0;;0;3.1555;;0;0;0;0.65219;0;0.1319;3.7629;0;0.15755;0;0;1.5547;0;36.0135;185.3045;0;;0;0;0;2.1764;0;0.35666;0;0;0;0.89357;0.09638;0;0;0;0.014656;0;;0;0;0;0;0;0;0;0;0.81341;0.71587;0;;0;0;2.6417;0.01832;0;2.804;;0;43.4205;0;1.6488;0;842.207;0;17.0807;0;14.3262;0;;0;0;0;1209.3595;117.9245;959.3777;367.9063;92.2977;2.3596;54.1333;2.6491;330.0408;11.1129;901.6408;0.007328;25.3402;6.412;1333.696
1967;0.26014;0.12824;1.7917;;0;;0;8.2074;0.84629;;0.007328;3.5174;5.5004;0;0.11358;0.48615;0.007328;7.6103;0.92699;0;0;0;;0.062587;;0.25648;0;0.29312;0.56792;0;0;0;45.0635;0;0;0;0;0.12458;2.7993;2.1068;0;0;;0;0;0.34263;0;0;1.2737;0;0;0;0;0;0;0;0.10626;0;0;;0.39951;0;0;0;;0;0;12.0619;0;0;0.032976;0;2.2044;8.7753;0;0;0;0;0;0;0;0;0;0;0;0;0;4.133;0;0.48731;6.1225;0.89035;0;2.8396;0.20885;17.3014;0;3.9095;0;8.297;0;0;5.1992;0.74819;0;0.86501;0;;0;0;;1.3974;0.007328;0;0;0;0;0.13923;;0;0;;0;0;0;19.8149;0;0;0;0.021984;0;0.014656;;0;0;;10.3288;0;0;0;0;0.34808;;0;;0;3.6798;;0;0;0;0.6009;0;0.13923;4.7302;0;0.21618;0;0;1.7024;0;39.5932;202.9042;0;;0;0;0;2.1801;0;0.41366;0;0;0;1.0933;0.11178;0;0;0;0.007328;0;;0;0;0;0;0;0;0.003664;0;0.9673;0.78386;0;;0;0;2.9165;0.01832;0;3.0703;;0;47.5445;0.87203;2.7773;0;881.2836;0;18.703;0;15.6929;0;;0;0;0;1290.9277;130.0265;1017.8612;403.093;110.2114;2.3193;59.3126;2.9239;370.5809;12.5199;946.162;0.007328;27.1283;15.3338;1436.288
1968;0.34808;0.14656;1.8833;;0;;0;9.1417;0.91746;;0.010992;3.7446;5.963;0;0.51662;0.54559;0.007328;8.2503;2.3926;0;0;0;;0.078357;;0.23083;0;0.28579;0.8757;0;0;0;55.5243;0;0;0;0;0.12824;2.6857;2.1764;0;0;;0;0;0.42896;0;0;1.5477;0;0;0;0;0;0;0.032976;0.10626;0;0;;0.43311;0;0;;;0;0;14.3006;0;0;0.047632;0;2.3898;14.4655;0;0;0;0;0;0;0;0;0;0;0;0;0;5.3275;0;0.75112;6.3094;0.93066;0;3.0375;0.27114;20.2216;0;4.2283;0;8.9948;0;0;6.4083;0.81111;0;0.93776;0;;0;0;;1.5149;0.010992;0;0;0;0;0.13557;;0;0;;0;0;0;19.8259;0;0;0;0.021984;0;0.021984;;0;0;;17.0339;0;0;0;0;0.28213;;0;;0;4.1297;;0;0;0;0.68883;0;0.12824;6.2764;0;0.98562;0;0;1.8455;0;41.9162;219.9683;0;0;0;0;0;3.1474;0;0.51789;0;0;0;1.3285;0.13995;0;0;0;0.003664;0;;0;0;0;0;0;0;0.021984;0;1.3447;0.84978;0;;0;0;3.0594;0.021984;0;3.3286;;0;51.5429;1.1505;6.2654;0;936.3608;0;20.2759;0;16.1985;0;;0;0;0;1406.8231;141.3561;1109.8637;438.3155;139.1656;2.3633;64.3163;3.0668;421.5375;16.4477;1011.711;0.010992;28.7258;5.3568;1553.536
1969;0;0.16854;2.4769;;0;;0;9.105;0.9819;;0.48731;4.6716;6.3818;0;0.59357;0.67215;0.007328;8.8298;4.9537;0;0;0;;0.09807;;0.2345;0;0.32243;0.90867;0;0;0;58.2979;0;0;0;0;0.1429;3.7593;2.4256;0;0.007328;0;0;0;0.53687;0;0;1.9085;0;0;0;0;0;0;0.032976;0.13557;0;0;;0.46353;0;0;;;0;0;16.5906;0;0;0.047632;0;2.5577;20.621;0;0;0;0;0;0;0;0;0;0;0;0;0;6.368;0;0.99661;4.9977;1.4619;0;9.0208;0.27114;22.3467;0;4.7192;0;9.6265;0;0;7.1558;0.86808;0;1.0036;0;;0;0;;1.6213;0.01832;0;0;0;0;0.19786;;0;0;;0;0;0;19.5951;0;0;0;0.080608;0;0.032976;;0;0;;18.5032;0;0;0;0;0.12091;;0;;0;5.0877;;0;0;0;0.70715;0;0.19053;8.68;0;1.6305;0;0;1.9752;0;46.0162;235.4181;0;;0;0;0;3.3489;0;0.64817;0;0;0;1.6382;0.17516;0;0;0;0.12824;0;;0;0;0;0;0;0;0.025648;0.19053;1.6891;0.90947;0;;0;0;3.0741;0.021984;0;3.5623;;0;55.1631;1.1322;12.2524;0;1018.0827;0;21.7;0;16.6749;0;;0;0;0;1541.6;155.9495;1220.9412;476.6083;169.406;2.8909;69.0628;3.0814;471.7326;24.8053;1095.9757;0.48731;29.5135;13.5385;1711.088
