;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Macedonia (Republic of);Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands Antilles;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States of America;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe;KP Annex B;Non KP Annex B;OECD;Non-OECD;EU28;Africa;Asia;Central America;Europe;Middle East;North America;Oceania;South America;World
1971;;6851;89383;;30063;;;223845;;;246556;115322;;;4438;61831;;;152688;;3332;;;;;565221;;10582;28091;;;;416730;;;;;49385;363077;100508;;4050;;9644;20306;;20787;2758;117176;28721;23637;87865;;;13573;27983;97004;18306;;;;21620;;;;;60288;820460;;;7126;;;1266244;20256;373;113056;;;;23520;;;;9673;6777;32445;79553;3048;618039;185005;497178;28324;288915;39313;744410;12066;1409203;8042;;15628;;116158;;;;29813;;;78987;;;7999;;;;;45900;;;1320;;;;2346;393749;;;;39251;5992;7835;;;10203;947;241837;;44745;12462;;205231;;71549;;11815;101367;;9710;;7059;84117;111164;16036;235356;78698;31764;11299;86586;;;77444;;;;;;;186716;8125;;;;20573;43214;;;;200212;421592;22129;;;;22948;;;140697;170610;12563;50888;;81541;;2657;;11119;15621;186042;;;;;32707;827161;11926;4482697;19545;;;183467;47475;;8604;13961;2495;12532613;7767810;13182153;7118270;5691553;953456;4816076;148584;6057992;1462672;5293176;291301;1277166;20433843
1972;;7462;113896;;30512;;;227490;;;252960;122481;;;4528;53191;;;160713;;3547;;;;;633346;;11426;30311;;;;439425;;;;;48983;376874;108221;;4399;;10432;21167;;21790;3039;121386;32599;23673;91533;;;14984;29387;98972;19426;;;;22058;;;;;64951;857693;;;7934;;;1320697;19752;387;124543;;;;25245;;;;9807;7168;35888;87627;3236;614620;199588;470225;30162;335975;44088;771883;14239;1527767;8504;;18298;;121271;;;;33441;;;68641;;;8527;;;;;50206;;;1397;;;;2541;427170;;;;40208;6188;8026;;;10521;971;247899;;47036;12739;;212135;;75318;;12976;102192;;10154;;7527;86531;117219;17314;252604;85006;35862;11601;92223;;;85652;;;;;;;230583;8644;;;;23351;44771;;;;203525;455951;22038;;;;21784;;;143917;176071;15708;58124;;85029;;2860;;11762;18392;199858;;;;;37863;857093;12724;4718009;19287;;;185820;42922;;9331;15247;2703;13205222;8170118;13901581;7473759;5969836;991401;5056815;158717;6350357;1569544;5584604;299996;1363906;21509139
1973;;8280;118239;;32593;;;233887;;;263331;128467;;;4389;54960;;;170552;;3678;;;;;721879;;12342;32739;;;;470027;;;;;46560;406647;115501;;4761;;11237;22424;;22538;3285;125451;36477;25599;94974;;;16916;33487;99670;20370;;;;22330;;;;;69487;914391;;;8742;;;1383793;20322;414;134621;;;;26957;;;;9923;7732;40295;94880;3456;634875;219100;548002;31586;354566;46552;826886;13458;1650486;7941;;19377;;115437;;;;35014;;;69340;;;9235;;;;;56087;;;1455;;;;2846;463091;;;;41639;6538;7948;;;10471;1027;262238;;50705;13556;;223575;;78692;;11127;109411;;10703;;8077;91183;127676;18308;271309;94528;42306;12223;105861;;;94577;;;;;;;289653;8161;;;;25942;46265;;;;212830;491462;23594;;;;21922;;;149627;181441;14365;66925;;93733;;2969;;11956;18272;206376;;;;;69221;919188;13112;4984229;19340;;;199032;43438;;10341;15100;2773;14028623;8857220;14769747;8116096;6350996;1029035;5461760;166373;6744407;1765631;5917347;314036;1487254;23019716
1974;;8109;127101;;30964;;;246830;;;266843;133534;;;7494;60231;;;177715;;3801;;;;;787152;;12914;35218;;;;487376;;;;;47720;416000;122134;;5137;;11860;23394;;22760;3073;129853;40365;26400;94199;;;17931;37240;102147;21457;;;;22629;;;;;71736;957289;;;12194;;;1396110;21714;408;125954;;;;28676;;;;10551;7637;41268;99035;3653;642400;237191;571964;32931;387841;49566;872366;12889;1630264;7941;;20164;;104409;;;;36187;;;59345;;;9624;;;;;60748;;;1600;;;;3097;491389;;;;43969;5829;8373;;;11134;1071;273399;;53743;15480;;248527;;81697;;12406;113284;;10965;;8754;99617;132219;18846;287297;95608;38221;13535;115792;;;106213;;;;;;;369286;8504;;;;27624;47891;;;;225836;519076;24501;;;;24431;;;154413;184081;17831;75904;;97920;;3113;;12412;19747;217922;;;;;79257;904623;13441;4958472;19900;;;203150;45966;;11044;16071;2957;14190213;9409611;14971171;8628653;6528757;1084047;5624749;173689;6945760;1922413;5937237;320586;1591343;23736921
1975;;8585;133513;;30330;;;246760;;;273746;133050;;;8224;57769;;;175356;;3615;;;;;828156;;12960;38315;;;;496260;;;;;42300;452192;124880;;5534;;12109;25325;;24917;3269;133679;45020;25085;93049;;;18863;41326;111279;22085;;;;22138;;;;;73031;946533;;;14534;;;1384009;19015;406;133973;;;;29235;;;;10306;7799;41471;101965;3677;701179;251858;631954;34794;410157;51174;854132;12856;1680664;7874;;20342;;96057;;;;29225;;;63818;;;8992;;;;;61235;;;1914;;;;3125;518962;;;;47292;5067;8721;;;11296;1072;273735;;52813;15457;;235535;;85802;;15438;118055;;11139;;9353;103006;139576;20224;301055;91451;32182;15057;124289;;;117199;;;;;;;388590;9145;;;;28904;49303;;;;229665;521891;26002;;;;28270;;;158355;170674;21313;77343;;102787;;3189;;12595;21160;233553;;;;;84193;899591;14234;4948629;21114;;;209034;47978;;12176;15706;2900;14235723;9847635;15050487;9032871;6528641;1104873;5891449;178433;6937754;2034286;5963851;326559;1646153;24222425
1976;;9196;144711;;27223;;;241779;;;283623;139140;;;10175;61040;;;185269;;3647;;;;;909236;;15572;40847;;;;522062;;;;;43735;444957;130895;;5584;;12777;28596;;26270;3931;136608;50454;23753;98719;;;20132;44383;127556;23200;;;;22519;;;;;73283;988050;;;19711;;;1452507;18344;417;143153;;;;31395;;;;11188;8618;48175;105816;3896;712840;266939;718787;35279;482881;51339;914992;11995;1747471;9788;;20780;;104796;;;;12572;;;78288;;;9220;;;;;68316;;;2239;;;;3867;540959;;;;52406;4825;9251;;;11793;1123;286841;;53303;16262;;256833;;90772;;18608;124142;;11322;;10057;105026;151868;21157;308511;97762;37196;14229;141012;;;130013;;;;;;;438014;9960;;;;31044;50382;;;;234832;539133;26869;;;;32981;;;160030;168278;23649;81784;;112374;;3123;;13402;22827;257990;;;;;98107;924524;15145;5215218;21945;;;225188;51008;;13887;16683;2913;14904702;10558673;15768877;9694498;6826249;1191336;6177878;187684;7246235;2291676;6278239;336926;1753401;25604682
1977;;9782;152321;;27853;;;258545;;;286169;146208;;;11671;62671;;;186429;;3828;;;;;951118;;17272;43375;;;;540117;;;;;47547;478774;136325;;5084;;13915;30687;;28557;4575;141812;56664;23934;100672;;;21135;45096;143930;24773;;;;22910;;;;;73458;1023350;;;17231;;;1501126;18761;427;147363;;;;33846;;;;11241;9513;53823;113789;4240;764555;289993;765356;38176;476600;51870;938421;11684;1824190;10425;;22745;;104688;;;;23039;;;85278;;;9365;;;;;73615;;;2512;;;;4120;559583;;;;55581;4861;9802;;;12149;1145;292352;;51205;17623;;272305;;94530;;18796;129043;;11453;;11213;105449;160376;22209;314423;103239;33173;16184;157677;;;144341;;;;;;;468691;9693;;;;33360;52304;;;;234611;554437;28240;;;;35034;;;157476;172373;23348;94493;;123435;;3341;;14624;23606;266774;;;;;119141;945705;15205;5455589;22264;;;239309;52028;;15284;15922;2713;15456234;11141161;16351969;10245426;7034908;1247738;6538288;199509;7475982;2404140;6555289;337374;1839075;26743032
1978;;10429;166357;;29045;;;246894;;;297770;145900;;;12619;67104;;;191727;;3877;;;;;981855;;18443;45804;;;;561471;;;;;51095;534791;147863;;5408;;14787;34035;;30441;4930;144069;63643;22655;102962;;;21587;47669;152249;26091;;;;21508;;;;;75603;1063215;;;13087;;;1546287;20351;440;158042;;;;35538;;;;11781;10465;58270;113322;4495;808231;316689;845663;40920;440954;54752;968827;11678;1920361;12614;;24317;;112392;;;;22340;;;88073;;;9746;;;;;78512;;;2792;;;;4278;605748;;;;56822;4900;10441;;;12684;1172;299166;;51362;16241;;256609;;98173;;18102;139429;;12569;;12562;105747;168671;22664;326038;106146;36314;19745;173914;;;155608;;;;;;;464123;9310;;;;36255;53138;;;;241684;562548;29836;;;;32956;;;160234;173079;25385;106029;;136144;;3710;;16089;25126;270788;;;;;117247;977335;15388;5758973;23460;;;244925;53536;;19244;16010;2640;16112321;11657222;17067206;10702337;7254359;1270140;6943755;208439;7715370;2471781;6926192;349132;1884734;27917686
1979;;11033;178797;;29708;;;272134;;;306855;153715;;;12478;70327;;;196215;;4130;;;;;1048290;;22604;48851;;;;582834;;;;;55527;575435;155822;;5938;;15517;34850;;30772;5419;145292;70630;22752;107029;;;22565;49449;161443;25001;;;;21781;;;;;80987;1099888;;;13149;;;1610464;19839;452;163229;;;;37213;;;;12641;10953;65004;121936;4713;765894;339151;1158574;42177;409540;58151;1026561;11554;2025674;13765;;26169;;128030;;;;24441;;;99956;;;9975;;;;;85852;;;3085;;;;4428;661203;;;;59546;4972;10984;;;12985;1195;305214;;52497;11941;;273954;;102451;;18886;144670;;13135;;14052;111876;178183;22695;312583;112132;37797;20937;188505;;;163530;;;;;;;509726;9962;;;;39661;53591;;;;250845;562782;31747;;;;31302;;;166387;177391;26308;122563;;143457;;3518;;16668;26776;269097;;;;;141779;1002820;15906;5941851;24915;;;246797;52531;;20440;15526;2727;16679624;12466325;17699726;11446223;7493862;1338911;7228128;209155;7973506;2849452;7185888;359352;2001557;29298052
1980;;11331;180210;;30421;;;283432;;;317156;156377;;;13414;70903;;;205005;;4410;;;;;1143800;;21022;51636;;;;595439;;;;;60051;620319;162208;;6986;;15634;31031;;29280;5730;148796;77619;23252;106507;;;24363;51283;177605;22058;;;;22652;;;;;85352;1117891;;;13485;;;1633153;19933;443;164335;;;;38612;;;;13598;11027;71574;121533;4984;817483;368741;950605;43476;355359;59122;1061772;10894;2082749;16382;;27632;;101636;;;;24808;;;100655;;;10059;;;;;92243;;;3303;;;;3983;716242;;;;61715;5181;11855;;;12684;1234;315137;;53161;12491;;285473;;107065;;20026;159449;;13279;;15698;115320;187358;22383;313982;117278;37419;20525;184940;;;168926;;;;;;;542956;9632;;;;43646;54884;;;;267452;575212;33603;;;;31780;;;169215;185554;29460;133235;;150879;;4031;;18400;28763;262515;;;;;175629;981733;16431;5927316;26371;;;235886;50692;;21339;15997;3120;16875683;12706372;17937991;11644064;7611292;1392355;7512063;210870;8109012;2632009;7238997;370317;2116432;29735454
