;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Macedonia (Republic of);Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands Antilles;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States of America;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe;KP Annex B;Non KP Annex B;OECD;Non-OECD;EU28;Africa;Asia;Central America;Europe;Middle East;North America;Oceania;South America;Statistical Difference;World
1960;0.27114;1.5755;4.3712;;0.34808;;0.03664;41.1907;0;;27.8098;8.4162;12.4294;0.41037;0.57525;1.3562;0.16488;17.9364;20.7676;0.043968;0.16122;0.15755;;0.26065;;39.0179;;0.029312;2.8579;0.043968;0.036431;0.2345;115.7421;0.01832;0.010992;0.087936;0.05496;6.925;22.9916;7.9326;0.010992;0.2235;;0.49098;0.46166;1.6077;13.3736;0.84272;4.7072;0.59723;1.1798;14.165;0.040304;0.010992;0.95264;1.6635;14.6084;0.57525;0.021984;;1.414;0.31144;0.051296;0.19419;;0.17587;7.2034;77.4057;0.021984;0.03664;0.12091;0.01832;1.9203;90.5924;1.2971;0.047632;5.4594;0.10259;0.021984;0.15755;1.2897;0.41037;0.01832;0.65952;0.26014;0.59723;2.4585;7.0459;1.1212;19.4448;14.7073;6.7857;3.2097;21.8374;5.9393;61.3244;1.363;80.6153;0.66318;29.1009;2.1398;;5.9906;1.4336;0.080608;2.9327;2.1398;;0.16488;0.60456;;5.2601;0.64853;0.03664;0.54108;0.35174;0.12733;3.8252;;0.12091;0.32976;;0.16854;0.03664;0.17221;42.9677;0.49464;0.064711;;2.4549;0.43602;1.7148;;;0.080608;;31.1;0.17954;4.6313;0.51662;0.029312;1.876;;9.5081;;;5.1913;;0.94165;0.17954;0.29678;7.394;7.753;0.9673;5.9796;5.2578;0.17587;0.26747;2.0848;3.655;0.07328;16.6932;221.8018;0.069825;;0.014656;0.014656;0.010992;2.6308;0.74379;0.77358;;0.68517;1.385;1.7781;0.77537;0.010992;0.084272;9.0684;14.2346;1.5242;;0.007328;0.010992;1.2714;0.43235;0;37.6659;11.1202;2.9678;2.3413;1.1003;3.3013;;0.065952;0.010992;1.0186;1.3923;4.4701;5.7371;;0.38472;49.5865;0.010992;128.8922;0.82074;1281.6306;3.9388;9.9485;;14.8832;1.7954;;3.631;0.37888;0.98137;2360.9614;491.4223;2122.6085;729.7752;558.5671;48.6579;236.4941;33.9506;876.6108;57.8179;1440.4503;32.8697;125.5176;258.3523;3110.736
1961;0.29312;1.8173;4.3125;;0.31144;;0.047632;42.1213;0;;29.1141;9.552;13.4697;0.54594;1.7697;1.4192;0.18686;19.4376;23.2884;0.03664;0.12824;0.17587;;0.26588;;41.4692;;0.029312;3.6493;0.0916;0.045224;0.28579;118.6623;0.01832;0.010992;0.087936;0.051296;7.2181;22.3357;9.1966;0.010992;0.26747;;0.49098;0.55326;1.6399;11.3181;0.81707;6.1486;0.85738;1.2311;16.4624;0.043968;0.010992;0.91234;1.5352;15.2642;0.54594;0.021984;;1.5324;0.30045;0.10259;0.15389;;0.16122;8.0205;83.6601;0.021984;0.058624;0.15022;0.021984;2.081;105.6917;1.1908;0.047632;5.6169;0.17587;0.01832;0.17587;1.3447;0.61555;0.029312;0.73646;0.2748;0.71448;2.8286;8.189;1.0113;21.3098;19.3239;7.0202;3.7519;19.3239;6.5219;72.4922;2.0189;107.6996;0.86837;31.5367;2.1398;0.007328;8.0901;1.5536;0.11358;3.1781;2.2424;;0.16122;1.0955;;5.7004;0.7731;0.051296;0.55192;0.34442;0.13047;4.2905;;0.11725;0.28579;;0.17221;0.047632;0.17221;44.9719;0.50563;0.066007;;2.5795;1.0259;1.8357;;;0.080608;;33.6978;0.2235;4.9977;0.54227;0.05496;2.4549;;9.8855;;;5.4325;;1.0479;0.20152;0.35541;7.7823;8.0242;0.93066;6.9616;5.7232;0.16122;0.27846;2.29;3.961;0.084272;16.5869;240.3665;0.08668;;0.01832;0.01832;0.010992;3.5138;0.72181;0.78908;;0.26014;2.0848;2.3225;0.79091;0.014656;0.087936;10.3655;16.7518;1.9199;;0.021984;0.010992;1.3007;0.42869;0;37.9114;12.6005;2.7846;2.4732;1.1924;3.62;;0.0916;0.010992;2.9568;1.4509;5.7158;6.2173;;0.37373;53.7368;0.010992;138.2647;0.69616;1297.3161;3.7996;10.7812;;11.5416;2.0262;;2.6637;0.38822;1.0055;2493.7486;520.3238;2235.6083;778.4641;619.4609;52.2743;278.5084;35.4052;964.1006;60.6868;1461.1482;34.6065;127.291;298.1836;3312.256
1962;0.36274;1.9566;4.1367;;1.0076;;0.10259;45.0782;0;;31.8841;11.025;15.0673;0.72547;1.5902;1.5566;0.25282;21.743;27.0367;0.069616;0.13557;0.15755;;0.2965;;44.829;0.003664;0.07328;5.0417;0.084272;0.043968;0.30778;126.2871;0.014656;0.010992;0.07328;0.084272;8.3319;21.7642;9.5081;0.010992;0.23816;;0.5496;0.58624;1.8288;13.6447;0.85738;7.7549;1.1798;1.2348;20.196;0.047632;0.010992;1.1212;1.4583;16.7591;0.61555;0.021984;;1.7142;0.35174;0.11358;0.047632;;0.21251;9.6033;94.4249;0.021984;0.047632;0.069616;0.025648;2.3278;132.3693;1.3447;0.051296;5.9027;0.15755;0.025648;0.18686;1.3227;0.65952;0.040304;0.67784;0.2748;0.67051;3.1657;8.8376;1.1065;24.8859;16.2315;7.339;4.5031;18.7084;7.3207;91.0138;2.0152;121.762;0.93066;35.2771;2.3303;0.010992;11.7321;1.7378;0.1319;3.5551;2.4182;;0.25282;1.0296;;6.3765;1.1981;0.084272;0.61549;0.37373;0.13799;4.3931;;0.13923;0.32243;;0.17221;0.062288;0.24549;42.2276;0.5496;0.07361;0.003664;1.9163;0.37373;1.9053;;;0.087936;;39.0619;0.19053;5.2652;0.63754;0.065952;2.3376;;10.2592;;;5.9583;;1.1285;0.19786;0.38472;9.0831;9.6473;0.98928;8.5408;5.987;0.19053;0.28946;2.9532;4.4308;0.0916;18.0672;268.8751;0.084272;;0.01832;0.01832;0.010992;6.1372;0.72181;0.87996;;0.28213;2.4805;2.9293;0.882;0.014656;0.10626;11.0909;21.8558;2.1398;;0.010992;0.010992;1.407;0.49464;;41.0771;16.03;2.8909;2.7077;1.3338;4.4005;;0.087936;0.010992;5.5216;1.5059;8.5591;6.9547;;0.39938;60.1103;0.01832;148.2491;0.75478;1334.7476;3.7153;12.0599;0.029312;8.0425;1.9859;;3.8838;0.41061;1.0636;2695.3588;559.8048;2400.8967;854.2669;720.2115;54.5423;306.0777;42.2423;1106.7534;71.7191;1503.4308;37.6842;132.6624;335.5564;3590.72
1963;0.39205;1.6488;4.1257;;1.0332;;0.084272;40.6448;0;;35.658;12.3367;16.5048;0.70715;1.0992;1.8541;0.1832;23.8175;32.0014;0.062288;0.12091;0.15022;;0.34849;;46.9102;0.003664;0.05496;6.4999;0.087936;0.047632;0.38838;134.2709;0.010992;0.010992;0.07328;0.0916;9.094;23.2701;10.468;0.010992;0.2345;;0.6009;0.62288;2.1494;12.4393;0.93798;8.4597;1.2568;1.352;23.7977;0.065952;0.014656;1.1322;1.6671;19.5804;1.0845;0.025648;;1.8777;0.38106;0.11358;0.047632;;0.2235;11.7101;117.6107;0.025648;0.065952;0.05496;0.029312;2.5499;164.1142;1.6085;0.047632;6.7344;0.18686;0.014656;0.20518;1.4436;0.69616;0.047632;0.61555;0.2235;0.6815;3.7776;9.6217;1.2238;27.1063;15.6343;7.5222;5.1772;20.2729;7.6248;107.2783;2.2937;151.0228;1.0772;38.6428;2.5685;0.01832;14.0954;1.9036;0.14656;3.8943;2.5575;;0.35541;1.44;;6.9849;1.7257;0.087936;0.72342;0.39938;0.13956;5.452;;0.17587;0.40304;;0.20885;0.087936;0.20152;42.7772;0.57525;0.086517;0.003664;2.7114;0.21618;1.9676;;;0.098928;;45.4739;0.1832;5.8404;0.81707;0.087936;2.4549;;11.5636;;;7.0971;;1.1139;0.25648;0.40304;9.3945;10.8015;1.0992;9.3945;6.3607;0.19419;0.30045;3.9278;4.8535;0.11358;19.3642;294.528;0.084272;;0.021984;0.021984;0.007328;6.815;0.76578;1.0343;0.007328;0.35541;3.2829;3.1955;1.0367;0.014656;0.10259;11.6955;20.4305;2.1068;;0.010992;0.014656;1.5682;0.53128;;44.8767;19.8919;3.261;2.8726;1.461;4.9208;;0.10626;0.010992;0;1.6525;8.3466;7.6182;;0.4067;65.8453;0.021984;156.7313;0.79509;1359.2561;4.0267;13.2105;0.029312;13.1135;2.1764;;2.9165;0.41528;1.0756;2907.9387;590.1298;2580.4431;917.6253;830.179;60.5916;352.8437;36.2589;1255.9051;75.8045;1536.5021;42.0664;138.0412;356.4596;3854.528
1964;0.47632;1.5352;3.7812;;1.0406;;0.0916;45.2101;0;;39.9449;14.5717;17.7045;1.0845;1.4986;1.8769;0.17587;25.5486;35.5701;0.084272;0.1429;0.20152;;0.42422;;47.0018;0.007328;0.07328;9.4238;0.10992;0.047632;0.30778;143.7204;0.021984;0.010992;0.07328;0.098928;9.8085;27.7292;10.959;0.010992;0.26747;;0.65952;0.76211;2.6165;13.6411;0.96363;10.5713;1.1871;0.91966;27.3041;0.084272;0.014656;1.5938;2.0005;22.933;1.1871;0.025648;;2.0142;0.38106;0.11358;0.010992;;0.39938;14.0368;133.9742;0.029312;0.065952;0.17221;0.029312;2.7352;190.004;1.5316;0.05496;6.9469;0.2235;0.021984;0.21618;1.6781;0.69982;0.058624;0.64853;0.27114;0.68517;3.7812;10.9737;1.2164;28.1212;15.7076;7.0605;5.8551;23.5705;8.4712;122.3446;3.9241;178.3818;1.0882;41.4514;2.5245;0.01832;4.3418;2.042;0.17221;4.1773;2.7956;;0.48365;0.65586;;7.4926;2.0775;0.11358;0.88062;0.42502;0.15022;6.9982;;0.17587;0.48731;;0.2345;0.11725;0.30411;46.4522;0.63387;0.10532;0.007328;2.9422;0.70715;2.1911;;0.029312;0.12091;;55.6891;0.35907;6.3644;0.91966;0.095264;3.2316;;12.4869;;0.010992;7.1842;;1.1798;0.26747;0.42136;10.8528;12.0802;1.1981;11.2265;7.0202;0.15389;0.33709;3.25;5.2063;0.12458;18.5765;315.9351;0.03664;;0.021984;0.025648;0.010992;5.6755;0.82074;1.259;0.007328;0.30411;3.5797;3.9931;1.2619;0.01832;0.13557;15.2862;27.5753;1.766;;0.025648;0.01832;1.8137;0.59357;0;49.8231;20.8188;4.0377;3.239;1.5672;6.8334;;0.1319;0.010992;1.6158;2.4036;10.49;8.1719;;0.45434;70.6311;0.01832;172.6477;1.0296;1393.9175;4.2686;14.1707;0.029312;11.2155;4.1733;;3.631;0.44701;1.1578;3131.1852;633.212;2780.8043;983.593;949.2187;69.5061;398.5428;42.1873;1405.4349;72.844;1584.3392;47.2656;144.2187;401.5707;4165.968
1965;0.54227;1.6232;4.177;;1.0113;;0.15022;47.3242;0;;47.9068;14.7549;18.8927;1.3154;1.1322;2.0256;0.19786;27.2633;40.4799;0.084272;0.15022;0.17954;;0.54481;;45.7634;0.007328;0.010992;10.9041;0.10259;0.03664;0.30411;151.7482;0.01832;0.010992;0.087936;0.10626;10.1823;34.9985;11.2008;0.014656;0.24549;;0.78776;1.1725;3.3603;13.9562;1.1029;11.1696;1.0919;1.1688;29.5868;0.12091;0.014656;1.44;2.1141;25.2963;1.0003;0.029312;;2.1494;0.57525;0.12824;0.010992;;0.31877;17.1988;152.2172;0.03664;0.084272;0.19419;0.029312;2.9188;217.7698;1.6305;0.047632;9.0354;0.26747;0.021984;0.20518;1.8576;0.69616;0.065952;1.0772;0.28213;0.70349;4.3492;11.461;1.3227;30.8142;17.6678;8.0461;6.5366;24.6257;12.1498;134.26;2.8359;200.9557;1.2714;44.2335;2.0812;0.010992;13.1611;2.179;0.17954;4.4577;2.8066;;0.55693;0.99661;;7.9954;2.4769;0.12091;1.131;0.4983;0.15389;7.852;;0.19786;0.46899;;0.24549;0.16122;0.30045;47.2986;0.61555;0.13526;0.003664;3.0704;0.62654;2.2753;;0.032976;0.14656;;60.6758;0.43968;7.4233;0.74746;0.0916;4.2539;;12.2634;;0.025648;7.7536;;1.4436;0.30411;0.53494;10.5267;13.0548;1.3044;13.5055;7.5625;0.16854;0.31144;4.547;5.5557;0.15022;20.1886;337.1392;0.047632;;0.025648;0.029312;0.010992;2.1178;1.6012;1.6169;0.007328;0.27114;2.4146;4.2192;1.6207;0.025648;0.1319;15.1213;31.7522;2.2424;;0.021984;0.014656;2.3669;0.7731;0;52.8349;23.9113;3.3269;4.4005;1.6724;6.6795;;0.1319;0.010992;2.8469;2.0812;11.5269;8.7204;;0.56059;75.3715;0.021984;189.7036;1.1542;1464.6913;5.1992;15.1218;0.032976;13.5605;4.994;;3.9278;0.58258;1.6854;3380.6102;683.5389;3006.898;1057.2511;1059.4486;76.1343;444.5775;41.6084;1547.5026;84.3086;1664.0276;56.3157;149.6084;402.2669;4466.416
1966;0.57525;1.898;5.9723;;1.3337;;0.34808;48.57;0;;46.9945;16.466;20.2088;1.0919;0.53494;2.1728;0.25648;29.1626;43.8434;0.080608;0.11358;0.20152;;0.63882;;51.8566;0.010992;0.20152;12.3733;0.10259;0.047632;0.34075;155.8263;0.021984;0.01832;0.084272;0.084272;11.4317;44.5469;12.2964;0.01832;0.30778;;0.93432;1.2384;3.9401;14.6047;1.1908;11.7441;1.1029;1.363;34.9839;0.13923;0.014656;1.5279;2.2314;24.5451;1.2348;0.025648;;2.2991;0.74746;0.1319;0.010992;;0.29312;21.9217;160.2817;0.043968;0.12091;0.35907;0.032976;3.1221;244.2825;1.2971;0.05496;10.5413;0.28213;0.029312;0.25282;1.6415;0.71814;0.065952;1.1798;0.28579;0.75478;4.7559;12.7507;1.4216;35.6764;16.2388;15.0993;7.1301;26.3075;12.802;155.3902;3.3416;226.1787;1.396;47.3149;2.3083;0.010992;11.3181;2.3308;0.2345;4.7682;3.0704;;0.61189;2.6271;;8.5524;2.8323;0.13923;1.3261;0.51296;0.19786;9.2369;;0.19053;0.4067;;0.27114;0.17954;0.26747;50.3031;0.61189;0.15859;0.007328;3.8179;0.85005;2.4622;;0.032976;0.15755;;63.8122;0.59357;7.742;0.91966;0.12824;5.1736;;15.3595;;0.029312;8.3172;;1.5755;0.34075;0.4983;11.6882;15.1726;1.4436;14.7696;7.742;0.15389;0.34442;6.5256;5.9427;0.17954;20.9141;360.6256;0.043968;;0.029312;0.025648;0.010992;4.1073;1.6232;1.8959;0.007328;0.30045;0.46166;4.4361;1.9003;0.025648;0.13923;17.2171;39.7141;2.5355;;0.021984;0.01832;2.5904;1.0442;0;63.0977;25.7836;4.5947;5.7378;1.7889;8.5371;;0.17954;0.010992;1.3007;2.4146;13.7217;9.3279;;0.67418;80.6222;0.025648;204.7077;1.3374;1529.6614;5.0673;16.1752;0.03664;10.6109;10.6696;;3.4625;0.55326;0.92699;3625.4105;751.9556;3228.3985;1148.9677;1176.7926;84.0265;503.7301;41.1504;1701.8147;96.6233;1736.0948;55.887;157.9734;470.1059;4847.472
1967;0.55693;1.9163;6.0932;;0.79875;;0.56426;49.7718;0;;51.8419;18.4006;22.0347;1.363;0.89035;2.3079;0.32976;31.7974;46.6867;0.12091;0.1429;0.21251;;0.84511;;53.7252;0.003664;0.1429;15.18;0.10259;0.047632;0.35174;171.4899;0.01832;0.014656;0.0916;0.11725;11.4866;42.4987;12.3257;0.01832;0.32243;;0.82074;1.3593;5.2125;15.4914;1.2714;14.1057;1.2787;1.1945;35.3723;0.087936;0.021984;1.4106;2.3963;17.0742;1.0882;0.025648;;2.5068;0.99661;0.16122;0.01832;;0.3151;21.2439;185.5779;0.069616;0.13923;0.97829;0.032976;3.4042;254.3769;1.418;0.062288;11.4866;0.29312;0.03664;0.28946;1.8723;0.72547;0.047632;1.3227;0.24182;0.82074;5.7158;14.0331;1.3703;32.6975;17.6238;6.7821;8.1121;27.6082;12.9046;168.6722;3.6933;282.6629;1.2531;51.5898;2.3303;0.021984;2.0262;2.5414;0.31877;5.199;3.0594;;0.61189;2.4439;;9.3251;3.1364;0.15389;1.7543;0.76944;0.20152;9.5301;;0.2235;0.51662;;0.29678;0.19786;0.4983;56.6088;0.68883;0.20981;0.007328;3.7776;0.63754;2.9862;;0.047632;0.16122;;64.9664;0.61189;8.0388;1.0332;0.12091;6.6282;;15.048;;0.13557;8.8343;;1.5975;0.43602;0.47998;12.0802;17.0596;1.5682;16.1253;8.6507;0.21618;0.458;10.4937;6.4796;0.21251;22.8597;393.2082;0.040304;;0.032976;0.025648;0.010992;4.4628;0.61555;2.5081;0.007328;0.25282;2.814;5.3282;2.514;0.032976;0.22717;18.8733;47.588;2.4805;;0.029312;0.01832;3.1144;1.2897;0;59.4631;27.6998;4.3015;7.4892;1.9506;10.9224;;0.19786;0.014656;1.6232;2.4732;16.3488;10.1706;;0.74013;87.9064;0.047632;212.021;1.6818;1589.194;4.5653;17.6367;0.040304;13.0402;15.6783;;3.0521;0.96363;1.1175;3886.6045;782.9839;3455.5561;1214.0323;1259.9321;81.121;585.8129;45.7084;1830.8992;83.0885;1817.6151;61.1302;164.1399;544.2835;5213.872
1968;0.4983;2.1837;6.5329;;1.418;;0.98928;52.5601;0;;55.9603;20.9141;23.4938;1.2897;0.58624;2.7246;0.43602;33.9029;54.7402;0.10259;0.15389;0.2235;;1.0208;;63.9808;0.014656;0.1429;17.5579;0.10259;0.05496;0.3664;179.2026;0.025648;0.021984;0.1832;0.12458;12.835;48.6506;14.2859;0.01832;0.45067;;0.97096;1.5975;6.296;15.4804;1.5022;14.8929;2.0408;2.4805;39.813;0.12091;0.021984;2.1837;2.8652;20.0567;1.1835;0.029312;;2.6728;1.6232;0.17954;;;0.3664;24.6844;202.1209;0.084272;0.15389;1.9126;0.03664;3.6296;290.438;1.5865;0.065952;13.6154;0.43968;0.040304;0.27846;2.0518;0.74746;0.062288;1.33;0.24182;1.1578;5.8441;15.6526;1.5352;42.2496;20.577;9.3359;8.266;36.5008;12.9559;181.6355;3.6713;334.0029;1.2677;55.0059;2.4402;0.032976;0;2.7097;0.16854;5.5433;3.2316;;0.85738;2.9642;;9.9426;3.4588;0.15755;2.119;0.8244;0.2345;9.8855;;0.19786;0.63021;;0.30778;0.2345;0.63387;59.4118;0.74379;0.25342;0.007328;4.0451;1.1542;2.5978;;0.047632;0.19419;;67.4029;0.916;8.2587;1.1798;0.15022;3.5248;;16.8068;;0.16122;10.4292;;1.9309;0.50197;0.57891;12.8277;20.8665;1.7257;19.4522;9.4861;0.24182;0.50197;15.3851;6.9087;0.21618;24.798;419.2447;0.051296;0.003664;0.03664;0.029312;0.014656;5.4337;0;3.0295;0.007328;0.36274;5.1149;5.6255;3.0365;0.03664;0.15389;17.2977;56.8836;3.0155;;0.032976;0.021984;3.0265;1.385;0;69.0554;31.4115;5.496;8.9072;2.0797;15.5573;;0.19419;0.014656;0.87203;3.0045;18.5948;10.8441;;0.90501;93.7272;0.0916;220.7523;1.5682;1689.4228;4.536;18.8045;0.05496;13.4872;16.063;;11.6369;1.0772;1.2531;4218.3094;884.2209;3760.3823;1342.148;1390.8693;86.2139;683.8827;46.7013;2003.2582;105.5342;1928.5098;65.8714;182.4819;580.3336;5682.864
1969;0.52762;2.2204;7.8703;;2.4988;;1.2568;60.5732;0;;61.5296;22.3834;25.1682;1.3374;0.67784;2.4119;0.47632;36.3193;59.5547;0.13557;0.20152;0.19786;;1.1324;;69.4218;0.01832;0.16488;22.508;0.12091;0.07328;1.2787;181.5292;0.029312;0.043968;0.18686;0.16122;13.3333;66.8497;14.5424;0.01832;0.4983;0.010992;1.0662;1.8906;6.9841;16.6749;1.5462;17.7411;2.2094;2.6014;46.5548;0.084272;0.01832;2.4585;2.9678;15.092;1.1212;0.043968;;2.8633;1.5535;0.20885;;;0.4067;27.5643;227.1424;0.084272;0.16122;1.385;0.047632;3.8883;324.1944;1.44;0.065952;15.048;0.32976;0.047632;0.31144;2.1691;0.74746;0.058624;1.3667;0.28946;1.1102;7.4636;17.1512;1.2128;45.3493;27.535;10.0687;9.4604;28.6928;13.8609;198.9149;4.0634;402.0764;1.5206;58.9263;2.7224;0.010992;1.5645;2.9028;0.31877;5.9384;3.7006;;1.2348;6.4413;;10.6512;3.8142;0.16122;2.3506;0.76211;0.25648;8.4016;;0.16122;0.64853;;0.32976;0.26747;0.57158;66.9046;0.76944;0.28112;0.007328;4.1037;1.4473;2.5904;;0.065952;0.33342;;71.4224;0.78043;8.7899;1.2311;0.17954;3.7483;;17.36;;0.2345;9.2323;;1.9529;0.55693;0.50197;13.271;21.2952;1.7441;20.6723;10.8528;0.30411;0.57158;20.0494;7.4011;0.2235;27.872;449.1255;0.05496;;0.062288;0.029312;0.014656;8.0388;0.38838;3.3606;0.007328;1.0845;6.881;6.7014;3.3684;0.03664;0.16122;19.9102;55.7514;4.1147;;0.021984;0.029312;4.0927;1.4509;0;77.9553;33.467;6.5696;11.3547;2.228;12.9596;;0.24182;0.010992;0.70715;3.2133;19.727;11.617;;1.0882;100.4074;0.13923;237.9878;1.7038;1781.6273;5.2835;20.1447;0.043968;16.0556;19.4558;;4.6753;1.2201;1.363;4568.1776;968.8115;4078.5662;1458.423;1533.2473;93.8387;799.8464;52.3512;2188.1602;99.7744;2030.4129;71.8767;200.5967;592.8828;6129.872
