;Afghanistan;Albania;Algeria;Andorra;Angola;Anguilla;Antigua and Barbuda;Argentina;Armenia;Aruba;Australia;Austria;Azerbaijan;Bahamas;Bahrain;Bangladesh;Barbados;Belarus;Belgium;Belize;Benin;Bermuda;Bhutan;Bosnia and Herzegovina;Botswana;Brazil;British Virgin Islands;Brunei Darussalam;Bulgaria;Burkina Faso;Burundi;Cambodia;Canada;Cape Verde;Cayman Islands;Central African Republic;Chad;Chile;China;Colombia;Comoros;Congo;Cook Islands;Costa Rica;Côte d'Ivoire;Croatia;Cuba;Cyprus;Czech Republic;North Korea;Democratic Republic of the Congo;Denmark;Djibouti;Dominica;Dominican Republic;Ecuador;Egypt;El Salvador;Equatorial Guinea;Eritrea;Estonia;Ethiopia;Faeroe Islands;Falkland Islands (Malvinas);Micronesia (Federated States of);Fiji;Finland;France;French Guiana;French Polynesia;Gabon;Gambia;Georgia;Germany;Ghana;Gibraltar;Greece;Greenland;Grenada;Guadeloupe;Guatemala;Guinea;Guinea-Bissau;Guyana;Haiti;Honduras;Hong Kong;Hungary;Iceland;India;Indonesia;Iraq;Ireland;Iran;Israel;Italy;Jamaica;Japan;Jordan;Kazakhstan;Kenya;Kiribati;Kuwait;Kyrgyzstan;Laos;Latvia;Lebanon;Lesotho;Liberia;Libya;Liechtenstein;Lithuania;Luxembourg;Macao;Macedonia (Republic of);Madagascar;Malawi;Malaysia;Maldives;Mali;Malta;Marshall Islands;Martinique;Mauritania;Mauritius;Mexico;Mongolia;Montenegro;Montserrat;Morocco;Mozambique;Myanmar;Namibia;Nauru;Nepal;Netherlands Antilles;Netherlands;New Caledonia;New Zealand;Nicaragua;Niger;Nigeria;Niue;Norway;Occupied Palestinian Territory;Oman;Pakistan;Palau;Panama;Papua New Guinea;Paraguay;Peru;Philippines;Bolivia;Poland;Portugal;Qatar;Cameroon;South Korea;Moldova;Réunion;Romania;Russian Federation;Rwanda;Saint Helena;Saint Lucia;Samoa;Sao Tome and Principe;Saudi Arabia;Senegal;Serbia;Seychelles;Sierra Leone;Singapore;Slovakia;Slovenia;Solomon Islands;Somalia;South Africa;Spain;Sri Lanka;Saint Kitts and Nevis;Saint Pierre and Miquelon;Saint Vincent and the Grenadines;Sudan;Suriname;Swaziland;Sweden;Switzerland;Syria;Taiwan;Tajikistan;Thailand;Timor-Leste;Togo;Tonga;Trinidad and Tobago;Tunisia;Turkey;Turkmenistan;Turks and Caicos Islands;Uganda;Ukraine;United Arab Emirates;United Kingdom;Tanzania;United States of America;Uruguay;Uzbekistan;Vanuatu;Venezuela;Viet Nam;Wallis and Futuna Islands;Yemen;Zambia;Zimbabwe;KP Annex B;Non KP Annex B;OECD;Non-OECD;EU28;Africa;Asia;Central America;Europe;Middle East;North America;Oceania;South America;World
1960;8994793;1636054;11124892;13414;5270844;5863;54681;20619075;1867396;54208;10292328;7065525;3897889;109526;162501;48200702;230934;8190027;9140563;92068;2431620;44948;224108;3214520;524029;72493585;8036;81825;7866472;4829291;2786740;5722370;17909232;202316;7867;1503501;3002596;7695692;644450173;16480384;188732;1013581;18259;1333042;3474724;4192634;7141129;572929;9578587;11424179;15248246;4580708;83636;60016;3294039;4545548;27072397;2762897;252115;1407631;1216831;22151218;34266;2144;44539;393383;4430228;45865699;32034;78083;499189;367929;4159769;73179665;6652285;21529;8311386;31238;89861;275169;4127555;3577413;616407;564222;3866160;2002333;3075752;10001270;175520;449661874;87792512;7289759;2819059;21906905;2089891;49714962;1630914;92500754;888632;9995997;8105440;41234;261962;2172500;2119944;2132368;1804927;851412;1120314;1434576;16504;2770737;314586;171456;1488664;5099371;3618604;8160975;89875;5263730;312788;14665;281625;858170;660023;38174114;955514;487416;12102;12328534;7493278;21486424;602545;4433;10056945;;11418652;78058;2371999;1774696;3395212;45211614;4829;3582016;1069399;551737;44911810;9638;1132924;1966957;1902871;10061519;26273023;3693451;29716363;8875311;47309;5361367;25074028;3003557;335691;18613835;119860289;2933424;4750;89901;108645;64255;4086539;3177560;7556730;41538;2181701;1633718;4137224;1586632;117869;2756380;17396367;30450994;9896172;51197;4919;80948;10482494;289972;349233;7479602;5296120;4592777;10493316;2064035;27397178;499525;1580513;61600;848481;4176266;27553280;1593501;5724;6788211;42662150;92612;52410496;10074490;186176524;2538651;8789492;63701;8146845;32670623;8562;5166311;3049586;3752390;888713825;2129101332;791185841;2226629316;408756106;284825621;1610527104;33829164;605994882;77564541;242296027;13711825;149065993;3018343828
1961;9164945;1685901;11404859;14376;5367287;5901;55403;20953079;1934239;55435;10494911;7105654;4030130;115108;167924;49593610;231674;8274486;9200393;94701;2466002;45834;229297;3277096;536576;74706888;8157;85687;7935058;4894578;2840375;5872247;18295922;205958;8026;1529229;3061423;7873504;654625069;16982313;191828;1039966;18435;1381920;3602075;4222502;7289828;576395;9626727;11665593;15637715;4613769;88499;61035;3406299;4676858;27810001;2843246;255100;1441297;1230521;22671131;34730;2131;45956;407152;4463432;46471083;33126;80706;504174;376736;4225733;73686490;6866545;21797;8366020;32474;91260;281412;4240084;3633778;623413;582034;3943363;2069085;3227426;10031496;179106;458691457;90138235;7475354;2816832;22480420;2174271;50067464;1654461;93357259;927850;10411040;8361442;42261;294639;2245062;2169287;2158546;1864605;866253;1144896;1483856;16894;2807763;317442;175135;1507653;5223621;3700032;8429369;92327;5322267;311702;15052;288483;883223;679045;39394125;982180;498128;11882;12713043;7643290;21961594;617282;4675;10215153;;11576024;80585;2423769;1830400;3493636;46144154;4878;3610710;1096903;564895;45988447;9901;1167041;2001048;1953331;10350239;27164618;3764815;30138099;8899331;51355;5474509;25808542;3075927;345407;18780105;121390327;2996091;4708;90913;112121;64549;4218879;3265558;7613356;42402;2210169;1690353;4193035;1596554;121403;2814683;17850045;30777097;10129134;51195;4951;82144;10760996;298190;357522;7527081;5393411;4742596;10862282;2140413;28224208;508311;1597528;63740;865356;4235936;28229291;1649914;5760;7006629;43203635;100985;52765864;10373380;189077076;2571691;9044671;65708;8461684;33666768;8730;5251663;3142848;3876638;898817402;2175714638;801782305;2272749735;412262479;291739475;1642400783;34675726;612060012;79641630;246804548;13999983;153209883;3075073173
1962;9343772;1737645;11690152;15376;5465905;5948;56311;21287682;2002170;56226;10691220;7151077;4167558;121083;173107;51030604;232584;8356956;9261828;97389;2503232;46724;234703;3341809;549990;77007549;8298;89603;8004367;4960325;2894510;6026696;18659663;210866;8142;1556656;3122357;8054166;665426760;17500166;194960;1067611;18515;1432583;3740503;4251421;7450404;577691;9679416;11871720;16041247;4649179;94200;61984;3521276;4812892;28560741;2927861;257940;1476321;1245098;23221331;35153;2117;47387;421576;4494623;47121575;34376;83654;509806;383525;4292101;74238494;7085463;22133;8412059;33730;92424;286768;4356579;3690960;629973;600559;4022596;2139208;3391625;10064667;182640;468054145;92558006;7674220;2821742;23071426;2264304;50458277;1681222;94263646;962783;10819503;8628973;43312;335161;2323642;2219964;2185016;1925276;881910;1170267;1536196;17298;2847221;320704;181025;1527105;5352674;3784444;8710678;94909;5381369;310325;15545;294964;909172;698307;40649590;1011328;509708;11798;13100843;7799396;22446690;632658;4947;10377061;;11735896;83221;2477328;1886560;3596613;47117859;4930;3638791;1128809;578825;47122931;10150;1202372;2037165;2005337;10650672;28081234;3838096;30530513;8917020;56187;5593768;26495107;3145546;355428;18924068;122842753;3050596;4670;92086;115786;64429;4362863;3356421;7669610;43409;2239581;1742472;4245726;1605645;125068;2874944;18322335;31122390;10366190;50966;4981;83206;11051787;306330;365719;7576192;5503000;4897428;11242221;2223956;29081037;517446;1612758;66255;880019;4303130;28909985;1708711;5762;7240155;43749469;112240;53146634;10683888;191860710;2603887;9319510;67806;8790590;34684164;8903;5339285;3240664;4006262;908897366;2224101837;812448905;2320550298;415898864;298904529;1675560053;35560170;618193856;81791899;251208674;14285603;157494419;3133554362
1963;9531555;1790533;11985130;16410;5565808;6001;57368;21621845;2070427;56697;10892700;7199962;4307315;127331;178048;52532595;233587;8438535;9323467;100166;2543335;47601;240364;3406466;564316;79368453;8455;93650;8073469;5027818;2950903;6181137;19007305;216913;8228;1585765;3184775;8237555;677332765;18033548;198205;1096502;18570;1484512;3889859;4279058;7618359;577912;9730996;12065470;16461914;4686155;100622;62920;3638628;4953735;29322709;3015885;260990;1512671;1260239;23798378;35550;2104;48875;436208;4522727;47781535;35768;86839;516270;389070;4357379;74820389;7303432;22510;8452617;35038;93354;291459;4476923;3749920;636593;618887;4103732;2211144;3554025;10099999;186056;477729958;95055669;7888914;2831911;23680433;2355929;50872976;1709690;95227653;1000506;11211938;8908425;44372;381665;2406263;2272078;2211297;1984982;898342;1196588;1592111;17722;2887887;324127;188703;1547445;5486593;3872124;8999247;97556;5441611;308815;16111;300958;936014;717413;41939880;1042383;520714;11806;13488517;7961458;22947286;648668;5231;10544586;;11896942;85908;2530791;1943591;3703159;48128460;4985;3666690;1159693;593504;48312888;10381;1238824;2075630;2058916;10961539;29016770;3913397;30893775;8924221;61647;5719135;27143075;3212094;366081;19059874;124193114;3102968;4640;93397;119564;64181;4516663;3450418;7725501;44515;2269890;1790682;4294673;1614022;128863;2937360;18809939;31479529;10608672;50533;5011;84167;11355299;314530;373991;7627722;5618160;5057825;11633716;2312193;29967043;526936;1631763;69000;892571;4377636;29597047;1769008;5741;7487411;44285897;125216;53537821;11005882;194513911;2635128;9611601;69962;9130346;35722092;9060;5429501;3342894;4140804;918827389;2274677422;823092557;2370412254;419574117;306321548;1710480308;36469552;624257514;84011573;255501145;14577420;161885751;3194075347
1964;9728645;1843596;12295973;17470;5665701;6057;58500;21953926;2138133;57029;11114995;7249855;4445653;133697;182774;54129390;234547;8521433;9383443;103070;2586362;48436;246324;3468083;579560;81751802;8628;97933;8141171;5098892;3011957;6329411;19349346;223854;8299;1616515;3247798;8423614;690932043;18581972;201665;1126602;18699;1537035;4049675;4304984;7787149;578629;9773266;12282421;16903899;4723496;107584;63921;3757962;5099470;30094082;3106186;264743;1550297;1275471;24396965;35946;2089;50483;450452;4546343;48402900;37282;90132;523793;394552;4419583;75410766;7513286;22894;8492232;36441;94066;295840;4600846;3812004;643962;635778;4186636;2282764;3695136;10135688;189276;487690114;97638027;8122200;2844373;24308080;2443297;51289904;1737616;96253064;1050725;11577537;9200158;45424;431366;2490244;2325742;2236844;2041212;915473;1224094;1652294;18170;2928182;327361;197523;1569143;5625401;3963424;9287442;100177;5503748;307389;16702;306370;963746;735860;43264267;1074517;529176;11837;13871988;8129268;23471163;665297;5500;10719988;;12057475;88578;2581578;2002119;3811813;49169819;5041;3694987;1182168;608889;49555472;10593;1276274;2116832;2114095;11281015;29962877;3990855;31229448;8915539;67487;5850454;27770874;3275457;377793;19207098;125412397;3161719;4623;94813;123354;64209;4677409;3547939;7780683;45651;2301023;1836087;4339082;1621883;132787;3002173;19308166;31838485;10858780;49934;5049;85076;11672023;322995;382575;7682603;5729465;5224579;12037811;2401598;30881332;536798;1662072;71757;903272;4458609;30292969;1829697;5705;7746181;44794325;138220;53920055;11339076;197028908;2665387;9917202;72131;9476255;36780984;9173;5522690;3449266;4279561;928444458;2327957090;833596308;2422805240;423163965;313990594;1747756554;37385944;630066466;86294065;259684011;14887379;166336535;3256988501
1965;9935358;1896125;12626953;18551;5765025;6114;59653;22283389;2204650;57360;11368011;7298794;4579759;140049;187348;55835020;235373;8607031;9440279;106121;2632360;49211;252629;3524596;595741;84130061;8813;102525;8206564;5174869;3079034;6467196;19693538;231427;8371;1648830;3310921;8612074;706590947;19144220;205412;1157905;18969;1589625;4219739;4328920;7951928;580971;9800931;12547524;17369859;4760262;114963;65038;3878952;5250120;30872982;3197865;269427;1589187;1290437;25013551;36363;2074;52238;463884;4564690;48952283;38897;93440;532512;400865;4477328;75990737;7710547;23256;8534252;37963;94579;300170;4728203;3877804;652566;650379;4271133;2352637;3801814;10170472;192251;497920270;100308896;8375791;2857104;24955116;2522530;51693136;1763436;97341852;1119798;11909001;9504702;46455;482173;2573494;2381063;2261259;2092354;933251;1252968;1717255;18647;2966947;330164;206910;1592434;5769219;4058680;9569784;102723;5568485;306212;17283;311129;992368;753285;44623041;1107125;533815;11842;14248426;8302736;24023640;682553;5738;10905006;;12216122;91197;2628003;2062633;3921581;50238569;5095;3724065;1191509;625007;50848775;10782;1314627;2161103;2170853;11607684;30913931;4070590;31539695;8888635;73543;5987671;28392722;3335625;390770;19379554;126483874;3232937;4627;96303;127068;64797;4843635;3649308;7835084;46770;2332999;1879571;4378613;1629434;136847;3069558;19813947;32192223;11117685;49211;5095;85972;12002470;331799;391659;7741167;5829958;5398333;12453974;2489648;31822798;547035;1708632;74363;912419;4545340;31000167;1890000;5669;8014376;45261939;150318;54278349;11683511;199403532;2694535;10233502;74287;9824694;37860014;9223;5619170;3559687;4422132;937636693;2384254326;843879523;2478011496;426578206;321913121;1787755272;38296593;635491820;88636792;263763169;15222883;170811369;3322495121
1966;10148841;1947786;12980269;19646;5863568;6171;60818;22608747;2269475;57712;11657281;7345865;4708485;146364;191782;57675529;236043;8695433;9493656;109344;2681382;49916;259270;3574972;612950;86494987;9009;107450;8269118;5256363;3153879;6588993;20041006;239765;8442;1682874;3373563;8802926;724490033;19721464;209536;1190361;19409;1642189;4400054;4350815;8110428;585311;9811540;12864683;17861860;4796157;122868;66305;4001377;5405692;31660914;3290397;275470;1629333;1305025;25641176;36804;2058;54201;476329;4577033;49411342;40619;96730;542562;408182;4529961;76558016;7890992;23590;8580600;39616;94878;304506;4858880;3948206;662597;662332;4357482;2420234;3868497;10204575;194935;508402908;103067352;8651167;2869311;25624650;2591594;52076758;1786547;98494630;1210948;12200891;9822505;47461;533521;2655349;2437527;2284214;2136640;951736;1283304;1787080;19156;3003571;332421;216873;1617797;5918060;4158132;9844116;105145;5635859;305357;17840;315175;1021880;769556;46010959;1139960;533909;11809;14617077;8482373;24606863;700316;5936;11100672;;12372136;93682;2668590;2125233;4032210;51336375;5152;3754010;1184822;642005;52194629;10945;1353805;2208422;2229373;11941327;31867565;4152665;31824145;8839831;79735;6130990;29006181;3392084;405290;19582342;127396324;3319077;4652;97877;130687;66057;5015672;3754268;7888802;47851;2365801;1921099;4412907;1636660;141027;3144244;20325230;32536637;11385943;48355;5152;86860;12347366;341137;401295;7804200;5916911;5579283;12884384;2575335;32789097;557252;1774029;76787;919902;4638271;31718266;1949425;5629;8292747;45682314;161077;54606608;12038886;201629471;2722874;10559050;76410;10175143;38959335;9205;5720538;3674088;4568320;946340111;2443723250;853882183;2536181178;429776151;330098997;1830641220;39195600;640470624;91041700;267726204;15587672;175301344;3390685523
1967;10368600;1998695;13354197;20755;5962831;6228;62002;22932201;2332624;58049;11975795;7390853;4832098;152607;196203;59625294;236620;8785138;9543533;112699;2733450;50555;266293;3619997;631276;88853679;9214;112680;8328838;5343020;3235125;6695460;20389445;248733;8518;1718558;3436227;8995410;744365635;20311369;214038;1224041;19979;1694711;4591238;4370856;8263547;591304;9808728;13221826;18378189;4831242;131403;67682;4125107;5566057;32456565;3383674;282445;1670821;1319284;26280771;37258;2041;56324;487911;4584264;49791771;42441;100031;553829;416342;4577953;77106876;8057442;23901;8630672;41360;94962;308734;4993104;4021880;673893;671986;4445531;2486288;3901653;10238930;197356;519162069;105907403;8947399;2882095;26318116;2652697;52444751;1807640;99711082;1320414;12455366;10154489;48440;585831;2735838;2495093;2305718;2174850;970972;1315119;1861661;19691;3038216;334231;227258;1644944;6072270;4262013;10111920;107488;5706198;304805;18388;318502;1052285;784777;47429553;1173186;530234;11758;14978905;8668529;25218375;718622;6102;11307139;;12525253;96068;2704205;2189880;4144238;52468593;5206;3784579;1165200;660117;53594445;11081;1393800;2258877;2289579;12282081;32826602;4237126;32085011;8774391;86161;6280743;29606633;3444850;420996;19810623;128165823;3418313;4696;99526;134194;67874;5196349;3862783;7942638;48911;2399667;1960547;4442799;1643697;145354;3227245;20843785;32873962;11661660;47383;5218;87736;12707299;350755;411478;7870642;5991681;5767478;13325128;2659452;33778500;567330;1855445;79048;925918;4737633;32448404;2008148;5589;8580632;46060456;171781;54904680;12406040;203713082;2750093;10894306;78518;10528054;40074695;9132;5827223;3792864;4718612;954595111;2506107008;863627587;2597074532;432778025;338555305;1876128656;40086608;645046021;93518223;271578658;15975776;179812872;3461343172
1968;10599790;2049147;13744383;21888;6066094;6287;63176;23261273;2394635;58385;12305530;7433328;4950977;158629;200953;61585520;237199;8874070;9589107;116061;2788551;51148;273868;3661642;650730;91213009;9422;118176;8386016;5434040;3317315;6795514;20739031;257478;8632;1755260;3500778;9187592;765570668;20905061;218794;1259190;20584;1746870;4794399;4389321;8413329;598491;9800665;13608611;18913177;4865343;140461;69042;4250026;5730908;33252275;3477702;288701;1713846;1333213;26945459;37718;2024;58404;498887;4589226;50126895;44310;103385;565878;425509;4622441;77611000;8221021;24185;8682351;43100;94875;312730;5131461;4094528;686155;680068;4534233;2552200;3915095;10273730;199634;530274729;108821565;9260685;2897541;27032944;2711303;52802703;1827989;100988866;1438986;12682452;10502250;49389;639170;2814423;2554843;2326128;2210965;990869;1348448;1941056;20235;3071465;335831;237129;1672401;6232704;4370664;10375877;109901;5780834;304514;18965;321181;1083586;799139;48893607;1207108;524844;11698;15335173;8860823;25853248;737802;6241;11524132;;12675176;98572;2738283;2256779;4258415;53640547;5238;3815399;1141217;679593;55045897;11206;1434660;2313017;2350900;12629333;33797041;4324066;32330582;8709805;93043;6437157;30204127;3495134;436688;20055983;128837792;3527260;4754;101181;137503;70040;5389848;3975614;7998000;49985;2435197;1998637;4470632;1651094;149926;3311111;21374931;33211168;11940634;46399;5291;88615;13082531;359735;422266;7936726;6056358;5963248;13762347;2743461;34790945;577824;1945781;81096;931466;4842166;33196289;2066889;5563;8872866;46409007;185312;55171084;12787494;205687611;2774771;11240523;80669;10881995;41195833;9025;5937125;3916928;4874113;962523859;2570783152;873220830;2660086181;435629118;347278460;1923556743;40977967;649326572;96080681;275368640;16372903;184345045;3533966901
1969;10849510;2099657;14144437;23061;6177703;6344;64307;23605992;2456370;58724;12621240;7473058;5066080;164250;206469;63422570;237911;8959483;9629528;119260;2846652;51719;282210;3702834;671305;93585746;9620;123875;8441214;5528172;3392949;6902025;21089228;264885;8831;1792150;3569778;9377005;787191243;21490948;223629;1296137;21091;1798315;5010962;4406607;8563191;606117;9798793;14009168;19458874;4898350;149891;70212;4376056;5899842;34038147;3572667;292014;1758668;1346854;27653622;38164;2008;60167;509659;4595807;50466183;46156;106858;578114;435800;4665146;78038271;8397346;24438;8732308;44703;94682;316304;5274726;4160375;698917;687658;4622209;2620014;3928928;10309211;201941;541844848;111800090;9585576;2918626;27765239;2775162;53160056;1849463;102323674;1553585;12897025;10867717;50303;693876;2890720;2618246;2346012;2250609;1011308;1383305;2025282;20765;3104292;337565;245310;1698140;6400454;4484456;10640347;112591;5861411;304401;19622;323323;1115790;812944;50423127;1242213;520644;11650;15687996;9058691;26504247;758305;6368;11750914;;12821786;101494;2775684;2326136;4375837;54859201;5218;3845932;1124929;700729;56545924;11335;1476478;2371515;2412565;12982444;34787588;4413584;32571673;8669641;100697;6600479;30811523;3544635;450741;20305391;129475269;3640591;4820;102747;140520;72240;5601649;4093763;8056663;51124;2473165;2036270;4499554;1659553;154876;3385414;21926165;33558627;12217248;45534;5372;89518;13473231;366845;433709;7997380;6114719;6166933;14177773;2829641;35826803;589519;2034909;82879;937846;4950153;33969201;2126749;5573;9162773;46746668;205570;55406435;13186560;207599308;2795044;11599763;82941;11235492;42309662;8920;6047230;4047479;5036321;970307203;2636880788;882817003;2724370988;438403293;356262041;1971997328;41882620;653476306;98747454;279161738;16759175;188901329;3607865513
